Euro_value,Date,Turnover_ron,Turnover_euro,Max_ron,Max_euro
4.23,1/1/19,12188487.90,2881439.22,13.1200,3.10
,1/2/19,12188487.90,2881439.22,13.1200,3.10
,1/3/19,902942.50,213461.58,13.3600,3.16
,1/4/19,656746.94,155259.32,13.3600,3.16
,1/5/19,11636584.98,2750965.72,13.5000,3.19
,1/6/19,3714801.54,878203.67,13.4600,3.18
,1/7/19,11912650.30,2816229.39,13.5000,3.19
,1/8/19,2310551.42,546229.65,13.7000,3.24
,1/9/19,7694821.22,1819106.67,13.7200,3.24
,1/10/19,1000437.88,236510.14,13.6200,3.22
,1/11/19,1462762.86,345806.82,13.6200,3.22
,1/12/19,51558147.56,12188687.37,13.7000,3.24
,1/13/19,20633740.12,4877952.75,13.7400,3.25
,1/14/19,6545591.12,1547421.07,13.8800,3.28
,1/15/19,2043309.68,483051.93,13.9200,3.29
,1/16/19,6852029.70,1619865.18,13.9000,3.29
,1/17/19,1313560.18,310534.32,13.8400,3.27
,1/18/19,3284379.08,776448.96,13.7600,3.25
,1/19/19,6164791.20,1457397.45,13.6400,3.22
19,1/20/19,3707331.40,876437.68,13.56,3.21
4.23,2/1/2019,6055732.02,1431615.13,13.5800,3.21
,2/2/2019,4720749.68,1116016.47,13.3600,3.16
,2/3/2019,5915253.54,1398405.09,13.2200,3.13
,2/4/2019,13331789.20,3151723.22,12.8400,3.04
,2/5/2019,5510751.58,1302778.15,13.1400,3.11
,2/6/2019,25859924.98,6113457.44,13.4400,3.18
,2/7/2019,3726749.26,881028.19,13.5000,3.19
,2/8/2019,6476064.36,1530984.48,13.6600,3.23
,2/9/2019,8529668.68,2016470.14,13.7800,3.26
,2/10/2019,3603031.44,851780.48,13.7000,3.24
,2/11/2019,3603031.44,851780.48,13.7000,3.24
,2/12/2019,6105315.88,1443337.09,13.7800,3.26
,2/13/2019,4761889.94,1125742.30,13.7000,3.24
,2/14/2019,416164.56,98384.06,13.7600,3.25
,2/15/2019,1105572.90,261364.75,13.7000,3.24
,2/16/2019,698004.94,165012.99,13.6800,3.23
,2/17/2019,4610626.44,1089982.61,13.6800,3.23
,2/18/2019,730270.88,172640.87,13.8800,3.28
,2/19/2019,878987.70,207798.51,13.9800,3.30
20,2/20/2019,7086621.08,1675324.13,14.0800,3.33
4.23,3/1/2019,1342454.34,317365.09,14.0000,3.31
,3/2/2019,694840.14,164264.81,13.9400,3.30
,3/3/2019,418336.08,98897.42,13.9800,3.30
,3/4/2019,5225647.28,1235377.61,14.1600,3.35
,3/5/2019,5225647.28,1235377.61,14.1600,3.35
,3/6/2019,2973358.18,702921.56,14.0800,3.33
,3/7/2019,3303970.04,781080.39,14.1800,3.35
,3/8/2019,1269508.62,300120.24,14.2000,3.36
,3/9/2019,10838255.24,2562235.28,14.7600,3.49
,3/10/2019,8841108.86,2090096.66,14.7800,3.49
,3/11/2019,9172588.04,2168460.53,14.7600,3.49
,3/12/2019,3000865.78,709424.53,15.0600,3.56
,3/13/2019,12610481.54,2981201.31,15.5800,3.68
,3/14/2019,18033270.60,4263184.54,15.5800,3.68
,3/15/2019,6561479.32,1551177.14,15.4800,3.66
,3/16/2019,4695105.70,1109954.07,15.4000,3.64
,3/17/2019,4284671.50,1012924.70,15.4400,3.65
,3/18/2019,5674818.28,1341564.61,15.1000,3.57
,3/19/2019,2328173.00,550395.51,15.3000,3.62
,3/20/2019,4103176.16,970018.00,15.2600,3.61
,3/21/2019,1190822.64,281518.35,15.1000,3.57
,3/22/2019,8034300.18,1899361.74,15.0400,3.56
22,3/23/2019,124376.54,29403.44,15.1000,3.57
4.23,4/1/2019,185309.64,43808.43,15.1600,3.58
,4/2/2019,7705164.44,1821551.88,15.1800,3.59
,4/3/2019,7446495.58,1760400.85,15.2200,3.60
,4/4/2019,4031646.22,953107.85,15.3400,3.63
,4/5/2019,14398219.84,3403834.48,15.4400,3.65
,4/6/2019,1848304.66,436951.46,15.3800,3.64
,4/7/2019,2902195.06,686098.12,15.4000,3.64
,4/8/2019,2976861.96,703749.87,15.5000,3.66
,4/9/2019,8133241.12,1922752.04,15.5600,3.68
,4/10/2019,15837249.74,3744030.67,15.7400,3.72
,4/11/2019,836914.42,197852.11,15.7800,3.73
,4/12/2019,308693.70,72977.23,15.7600,3.73
,4/13/2019,3761363.90,889211.32,15.7600,3.73
,4/14/2019,2409699.06,569668.81,15.6800,3.71
,4/15/2019,971774.46,229733.91,15.6000,3.69
,4/16/2019,6254589.32,1478626.32,15.6200,3.69
,4/17/2019,6254589.32,1478626.32,15.6200,3.69
,4/18/2019,1862611.34,440333.65,15.5600,3.68
19,4/19/2019,4858687.96,1148626.00,15.5000,3.66
4.23,5/1/2019,6933026.00,1639013.24,15.3000,3.62
,5/2/2019,2474835.14,585067.41,15.2800,3.61
,5/3/2019,2646805.34,625722.30,15.7200,3.72
,5/4/2019,9168008.86,2167377.98,15.9000,3.76
,5/5/2019,14469376.02,3420656.27,14.5200,3.43
,5/6/2019,11933841.28,2821239.07,14.5400,3.44
,5/7/2019,2874000.88,679432.83,14.4600,3.42
,5/8/2019,1521503.38,359693.47,14.3200,3.39
,5/9/2019,1131167.30,267415.44,14.2800,3.38
,5/10/2019,2437501.64,576241.52,14.0000,3.31
,5/11/2019,2603839.48,615564.89,13.8800,3.28
,5/12/2019,2360606.24,558062.94,13.7000,3.24
,5/13/2019,3455820.80,816978.91,13.6600,3.23
,5/14/2019,2560478.50,605314.07,13.3800,3.16
,5/15/2019,1927885.82,455764.97,13.4600,3.18
,5/16/2019,4102885.56,969949.30,13.4400,3.18
,5/17/2019,5169135.22,1222017.78,13.1800,3.12
,5/18/2019,3672618.00,868231.21,13.1400,3.11
,5/19/2019,3330918.86,787451.27,13.1600,3.11
,5/20/2019,17663735.74,4175824.05,12.8800,3.04
21,5/21/2019,25663140.00,6066936.17,12.5000,2.96
,6/1/2019,24598746.72,5815306.55,12.8200,3.03
4.23,6/2/2019,10240923.66,2421022.14,12.8800,3.04
4.23,6/3/2019,6310691.70,1491889.29,12.9400,3.06
,6/4/2019,833809.86,197118.17,12.9200,3.05
,6/5/2019,5852389.12,1383543.53,13.1400,3.11
,6/6/2019,6581402.52,1555887.12,13.2600,3.13
,6/7/2019,12928643.68,3056416.95,13.3800,3.16
,6/8/2019,2416970.82,571387.90,13.4800,3.19
,6/9/2019,3861225.56,912819.28,13.4800,3.19
,6/10/2019,794288.72,187775.11,13.5000,3.19
,6/11/2019,346163.32,81835.30,13.4800,3.19
,6/12/2019,4456008.02,1053429.79,13.2600,3.13
,6/13/2019,8101718.86,1915299.97,13.1000,3.10
,6/14/2019,14882025.46,3518209.33,13.2200,3.13
,6/15/2019,476845.68,112729.48,13.2000,3.12
,6/16/2019,1377487.36,325647.13,13.1800,3.12
,6/17/2019,466512.68,110286.69,13.0000,3.07
,6/18/2019,5590688.74,1321675.83,12.9800,3.07
,6/19/2019,4566373.56,1079520.94,12.9200,3.05
20,6/20/2019,560920.92,132605.42,13.1200,3.10
,7/1/2019,2198984.34,519854.45,13.1400,3.11
4.23,7/2/2019,3951230.72,934097.10,13.0000,3.07
4.23,7/3/2019,547669.84,129472.78,12.8800,3.04
,7/4/2019,534463.44,126350.70,12.8200,3.03
,7/5/2019,392926.72,92890.48,12.8400,3.04
,7/6/2019,4460758.84,1054552.92,12.9200,3.05
,7/7/2019,1050605.30,248370.05,12.9400,3.06
,7/8/2019,7612137.22,1799559.63,13.2000,3.12
,7/9/2019,1492986.68,352951.93,13.2800,3.14
,7/10/2019,1084813.88,256457.18,13.3000,3.14
,7/11/2019,4699542.20,1111002.88,13.2800,3.14
,7/12/2019,5481104.18,1295769.31,13.4800,3.19
,7/13/2019,5728598.36,1354278.57,13.4800,3.19
,7/14/2019,2845705.58,672743.64,13.4000,3.17
,7/15/2019,926958.76,219139.19,13.5000,3.19
,7/16/2019,266304.88,62956.24,13.4800,3.19
,7/17/2019,9644573.50,2280041.02,13.6000,3.22
,7/18/2019,2187400.28,517115.91,13.8600,3.28
,7/19/2019,4239697.50,1002292.55,14.2800,3.38
,7/20/2019,2792391.74,660139.89,14.3800,3.40
,7/21/2019,1306106.48,308772.22,14.4200,3.41
22,7/22/2019,3592497.88,849290.28,14.3000,3.38
,8/1/2019,1119608.66,264682.90,13.9800,3.30
4.23,8/2/2019,7254338.22,1714973.57,13.9000,3.29
4.23,8/3/2019,6672092.78,1577326.90,13.6600,3.23
,8/4/2019,3426913.80,810145.11,13.9600,3.30
,8/5/2019,1702783.74,402549.35,14.0800,3.33
,8/6/2019,6082037.38,1437833.90,14.4600,3.42
,8/7/2019,3396138.18,802869.55,14.1800,3.35
,8/8/2019,2118355.82,500793.34,13.9400,3.30
,8/9/2019,5395413.12,1275511.38,13.6400,3.22
,8/10/2019,7709188.80,1822503.26,14.0000,3.31
,8/11/2019,625060.06,147768.34,14.1600,3.35
,8/12/2019,391445.50,92540.31,14.2000,3.36
,8/13/2019,1900513.02,449293.86,14.1400,3.34
,8/14/2019,1528789.70,361416.00,14.0000,3.31
,8/15/2019,912816.70,215795.91,14.0200,3.31
,8/16/2019,294100.80,69527.38,14.0400,3.32
,8/17/2019,4280185.80,1011864.26,14.1000,3.33
,8/18/2019,5242885.48,1239452.83,14.2000,3.36
22,8/19/2019,1386781.64,327844.36,14.2200,3.36
,9/1/2019,990635.90,234192.88,14.3200,3.39
4.23,9/2/2019,1606115.68,379696.38,14.3000,3.38
4.23,9/3/2019,4221054.34,997885.19,14.1000,3.33
,9/4/2019,1883994.44,445388.76,14.1000,3.33
,9/5/2019,4679354.02,1106230.26,14.1800,3.35
,9/6/2019,12545150.42,2965756.60,14.1600,3.35
,9/7/2019,5177167.38,1223916.64,14.1600,3.35
,9/8/2019,3268375.24,772665.54,14.1000,3.33
,9/9/2019,6955734.88,1644381.77,14.0400,3.32
,9/10/2019,9416329.82,2226082.70,13.8800,3.28
,9/11/2019,4897646.62,1157836.08,13.7400,3.25
,9/12/2019,12619854.04,2983417.03,13.7600,3.25
,9/13/2019,14177064.42,3351551.87,13.8000,3.26
,9/14/2019,2467710.90,583383.19,13.7400,3.25
,9/15/2019,4918926.40,1162866.76,13.7400,3.25
,9/16/2019,7330037.84,1732869.47,13.6600,3.23
,9/17/2019,6537000.54,1545390.20,13.5000,3.19
,9/18/2019,4887703.72,1155485.51,13.4600,3.18
21,9/19/2019,6208289.92,1467680.83,13.6000,3.22
,10/1/2019,615945.94,145613.70,13.6600,3.23
4.23,10/2/2019,3533779.72,835408.92,13.6000,3.22
4.23,10/3/2019,1411138.08,333602.38,13.7800,3.26
,10/4/2019,3529002.88,834279.64,13.7000,3.24
,10/5/2019,1451757.68,343205.13,13.6000,3.22
,10/6/2019,6189696.78,1463285.29,13.4200,3.17
,10/7/2019,1810087.72,427916.72,13.4000,3.17
,10/8/2019,5209629.64,1231590.93,13.2600,3.13
,10/9/2019,1448213.96,342367.37,13.2200,3.13
,10/10/2019,1728100.76,408534.46,13.3000,3.14
,10/11/2019,4495244.24,1062705.49,13.4000,3.17
,10/12/2019,4279672.32,1011742.87,13.4200,3.17
,10/13/2019,6337703.22,1498274.99,13.4000,3.17
,10/14/2019,685467.34,162049.02,13.2200,3.13
,10/15/2019,1690103.38,399551.63,13.2600,3.13
,10/16/2019,1916692.70,453118.84,13.4000,3.17
,10/17/2019,690773.20,163303.36,13.4200,3.17
,10/18/2019,658121.30,155584.23,13.3600,3.16
,10/19/2019,1217907.62,287921.42,13.3800,3.16
,10/20/2019,299338.46,70765.59,13.3200,3.15
,10/21/2019,325094.08,76854.39,13.2000,3.12
23,10/22/2019,3251613.76,768703.02,13.2000,3.12
,11/1/2019,5372680.00,1270137.12,13.2000,3.12
4.23,11/2/2019,508651.62,120248.61,13.3000,3.14
,11/3/2019,1104475.68,261105.36,13.4200,3.17
,11/4/2019,1626597.34,384538.38,13.4000,3.17
,11/5/2019,11477517.84,2713361.19,13.5800,3.21
,11/6/2019,4367624.20,1032535.27,13.6200,3.22
,11/7/2019,3562913.10,842296.24,13.5400,3.20
,11/8/2019,349971.48,82735.57,13.5000,3.19
,11/9/2019,1629970.56,385335.83,13.4200,3.17
,11/10/2019,988938.70,233791.65,13.3400,3.15
,11/11/2019,517146.42,122256.84,13.3600,3.16
,11/12/2019,164067.10,38786.55,13.4200,3.17
,11/13/2019,538681.26,127347.82,13.4800,3.19
,11/14/2019,1911889.94,451983.44,13.4200,3.17
,11/15/2019,1187881.66,280823.09,13.5200,3.20
,11/16/2019,186807.60,44162.55,13.5200,3.20
,11/17/2019,5856686.18,1384559.38,13.5200,3.20
,11/18/2019,3433845.70,811783.85,13.5800,3.21
,11/19/2019,2480945.82,586512.01,13.8000,3.26
,11/20/2019,1860781.24,439901.00,13.9000,3.29
21,11/21/2019,4188068.36,990087.08,14.0600,3.32
,12/1/2019,6465214.52,1528419.51,14.2800,3.38
4.23,12/2/2019,2800500.24,662056.79,14.2800,3.38
4.23,12/3/2019,219368.28,51860.11,14.2200,3.36
,12/4/2019,5473126.50,1293883.33,14.1800,3.35
,12/5/2019,4773420.00,1128468.09,14.2400,3.37
,12/6/2019,5322432.56,1258258.29,14.2000,3.36
,12/7/2019,1534651.58,362801.79,13.9800,3.30
,12/8/2019,4918984.46,1162880.49,13.9000,3.29
,12/9/2019,846076.70,200018.13,13.8200,3.27
,12/10/2019,8558231.66,2023222.61,13.8000,3.26
,12/11/2019,613648.76,145070.63,13.7600,3.25
,12/12/2019,10766284.60,2545220.95,13.6400,3.22
,12/13/2019,56541712.66,13366835.14,12.5400,2.96
,12/14/2019,17649530.78,4172465.91,11.5200,2.72
,12/15/2019,12331065.58,2915145.53,11.0000,2.60
,12/16/2019,4158304.68,983050.75,11.8000,2.79
,12/17/2019,6835882.26,1616047.82,11.9800,2.83
,12/18/2019,4097389.14,968649.91,11.5600,2.73
19,12/19/2019,1833494.12,433450.15,11.5000,2.72
