HHID,TIME,PASTA,EXPOS,AGE,INCOME,AREA
1,1,0.939444279,1,61.7107579,25186.79877,Hague
1,2,2.560968639,2,61.7107579,25186.79877,Hague
1,3,0.901123323,0,61.7107579,25186.79877,Hague
1,4,1.916530012,1,61.7107579,25186.79877,Hague
1,5,1.548751036,0,61.7107579,25186.79877,Hague
1,6,2.16940497,0,61.7107579,25186.79877,Hague
1,7,2.804702416,0,61.7107579,25186.79877,Hague
1,8,2.28801347,0,61.7107579,25186.79877,Hague
1,9,2.263325581,0,61.7107579,25186.79877,Hague
1,10,1.357009615,1,61.7107579,25186.79877,Hague
1,11,1.880099374,1,61.7107579,25186.79877,Hague
1,12,2.305812752,0,61.7107579,25186.79877,Hague
1,13,1.104249637,0,61.7107579,25186.79877,Hague
1,14,1.718950535,1,61.7107579,25186.79877,Hague
1,15,1.405231047,0,61.7107579,25186.79877,Hague
1,16,3.547690545,0,61.7107579,25186.79877,Hague
1,17,3.01214303,0,61.7107579,25186.79877,Hague
1,18,1.867376744,1,61.7107579,25186.79877,Hague
1,19,3.763101821,0,61.7107579,25186.79877,Hague
1,20,3.17033324,1,61.7107579,25186.79877,Hague
2,1,1.316547721,0,42.18839297,23946.78543,Hague
2,2,0.998392511,2,42.18839297,23946.78543,Hague
2,3,2.409444473,1,42.18839297,23946.78543,Hague
2,4,2.496632692,0,42.18839297,23946.78543,Hague
2,5,1.754094598,1,42.18839297,23946.78543,Hague
2,6,1.660277194,0,42.18839297,23946.78543,Hague
2,7,3.671822507,1,42.18839297,23946.78543,Hague
2,8,1.766481204,1,42.18839297,23946.78543,Hague
2,9,2.792576235,1,42.18839297,23946.78543,Hague
2,10,0.803782595,0,42.18839297,23946.78543,Hague
2,11,2.28927734,1,42.18839297,23946.78543,Hague
2,12,2.683158483,1,42.18839297,23946.78543,Hague
2,13,1.733047183,1,42.18839297,23946.78543,Hague
2,14,2.6925944,0,42.18839297,23946.78543,Hague
2,15,2.319092159,1,42.18839297,23946.78543,Hague
2,16,4.053386211,3,42.18839297,23946.78543,Hague
2,17,2.535999706,0,42.18839297,23946.78543,Hague
2,18,1.989016856,0,42.18839297,23946.78543,Hague
2,19,4.063432571,0,42.18839297,23946.78543,Hague
2,20,2.326226047,1,42.18839297,23946.78543,Hague
3,1,0.697272229,0,45.91577844,13044.66387,Paris
3,2,3.653067656,1,45.91577844,13044.66387,Paris
3,3,1.853733712,1,45.91577844,13044.66387,Paris
3,4,1.667956803,0,45.91577844,13044.66387,Paris
3,5,2.221244131,1,45.91577844,13044.66387,Paris
3,6,0.993577335,2,45.91577844,13044.66387,Paris
3,7,0.94139099,0,45.91577844,13044.66387,Paris
3,8,0,0,45.91577844,13044.66387,Paris
3,9,0.267216974,0,45.91577844,13044.66387,Paris
3,10,2.424822167,0,45.91577844,13044.66387,Paris
3,11,3.06266482,0,45.91577844,13044.66387,Paris
3,12,0.192559407,0,45.91577844,13044.66387,Paris
3,13,2.763370861,0,45.91577844,13044.66387,Paris
3,14,1.562246598,1,45.91577844,13044.66387,Paris
3,15,3.899965314,1,45.91577844,13044.66387,Paris
3,16,3.063347784,1,45.91577844,13044.66387,Paris
3,17,1.222341896,0,45.91577844,13044.66387,Paris
3,18,1.105713768,1,45.91577844,13044.66387,Paris
3,19,4.046152703,1,45.91577844,13044.66387,Paris
3,20,1.868809417,0,45.91577844,13044.66387,Paris
4,1,3.513366024,0,45.98629919,31759.30701,Brussels
4,2,0.874948718,0,45.98629919,31759.30701,Brussels
4,3,3.053855053,2,45.98629919,31759.30701,Brussels
4,4,1.233669773,0,45.98629919,31759.30701,Brussels
4,5,1.083131527,0,45.98629919,31759.30701,Brussels
4,6,0.62254877,0,45.98629919,31759.30701,Brussels
4,7,1.491943325,0,45.98629919,31759.30701,Brussels
4,8,2.384800096,1,45.98629919,31759.30701,Brussels
4,9,2.923600967,0,45.98629919,31759.30701,Brussels
4,10,1.172281722,1,45.98629919,31759.30701,Brussels
4,11,4.737809207,1,45.98629919,31759.30701,Brussels
4,12,2.325908412,1,45.98629919,31759.30701,Brussels
4,13,3.993924206,3,45.98629919,31759.30701,Brussels
4,14,1.37175217,0,45.98629919,31759.30701,Brussels
4,15,2.736457817,2,45.98629919,31759.30701,Brussels
4,16,2.134452239,0,45.98629919,31759.30701,Brussels
4,17,1.054928935,0,45.98629919,31759.30701,Brussels
4,18,1.743813694,0,45.98629919,31759.30701,Brussels
4,19,0.637060017,0,45.98629919,31759.30701,Brussels
4,20,0.033456133,0,45.98629919,31759.30701,Brussels
5,1,3.177759422,1,59.46245885,39585.65577,Amsterdam
5,2,0.598039817,1,59.46245885,39585.65577,Amsterdam
5,3,3.225954188,2,59.46245885,39585.65577,Amsterdam
5,4,0.086104942,0,59.46245885,39585.65577,Amsterdam
5,5,0.158439934,0,59.46245885,39585.65577,Amsterdam
5,6,2.802695394,1,59.46245885,39585.65577,Amsterdam
5,7,1.581422254,0,59.46245885,39585.65577,Amsterdam
5,8,1.456167575,0,59.46245885,39585.65577,Amsterdam
5,9,3.64039672,2,59.46245885,39585.65577,Amsterdam
5,10,0.989046394,0,59.46245885,39585.65577,Amsterdam
5,11,4.631363341,1,59.46245885,39585.65577,Amsterdam
5,12,1.016904422,0,59.46245885,39585.65577,Amsterdam
5,13,1.36560249,0,59.46245885,39585.65577,Amsterdam
5,14,1.115159631,0,59.46245885,39585.65577,Amsterdam
5,15,3.28132528,0,59.46245885,39585.65577,Amsterdam
5,16,1.770673475,1,59.46245885,39585.65577,Amsterdam
5,17,2.397106532,1,59.46245885,39585.65577,Amsterdam
5,18,1.040438678,1,59.46245885,39585.65577,Amsterdam
5,19,3.672001977,1,59.46245885,39585.65577,Amsterdam
5,20,3.312259047,0,59.46245885,39585.65577,Amsterdam
6,1,1.713048907,1,32.36380478,37858.6389,Paris
6,2,2.227844427,0,32.36380478,37858.6389,Paris
6,3,1.016227648,0,32.36380478,37858.6389,Paris
6,4,1.692767555,0,32.36380478,37858.6389,Paris
6,5,1.132662405,0,32.36380478,37858.6389,Paris
6,6,2.287364633,0,32.36380478,37858.6389,Paris
6,7,1.865893848,0,32.36380478,37858.6389,Paris
6,8,4.570274023,0,32.36380478,37858.6389,Paris
6,9,1.681726465,2,32.36380478,37858.6389,Paris
6,10,1.046449906,1,32.36380478,37858.6389,Paris
6,11,0.171657402,1,32.36380478,37858.6389,Paris
6,12,1.646679836,0,32.36380478,37858.6389,Paris
6,13,1.545116293,0,32.36380478,37858.6389,Paris
6,14,1.244621769,0,32.36380478,37858.6389,Paris
6,15,2.003853104,0,32.36380478,37858.6389,Paris
6,16,1.797583346,0,32.36380478,37858.6389,Paris
6,17,0.195278231,1,32.36380478,37858.6389,Paris
6,18,2.636142926,1,32.36380478,37858.6389,Paris
6,19,1.07681574,0,32.36380478,37858.6389,Paris
6,20,0.727382394,0,32.36380478,37858.6389,Paris
7,1,2.430791299,1,30.77828339,77139.45315,Brussels
7,2,0.393515039,0,30.77828339,77139.45315,Brussels
7,3,1.615131325,0,30.77828339,77139.45315,Brussels
7,4,1.963500101,1,30.77828339,77139.45315,Brussels
7,5,3.314018853,1,30.77828339,77139.45315,Brussels
7,6,1.926488434,0,30.77828339,77139.45315,Brussels
7,7,2.985119692,1,30.77828339,77139.45315,Brussels
7,8,2.328479143,0,30.77828339,77139.45315,Brussels
7,9,0.143608815,0,30.77828339,77139.45315,Brussels
7,10,2.679537722,1,30.77828339,77139.45315,Brussels
7,11,1.85206756,0,30.77828339,77139.45315,Brussels
7,12,0.427704307,0,30.77828339,77139.45315,Brussels
7,13,2.170005434,1,30.77828339,77139.45315,Brussels
7,14,1.087669815,0,30.77828339,77139.45315,Brussels
7,15,3.069484097,0,30.77828339,77139.45315,Brussels
7,16,4.810244744,3,30.77828339,77139.45315,Brussels
7,17,3.572494694,1,30.77828339,77139.45315,Brussels
7,18,3.21754092,1,30.77828339,77139.45315,Brussels
7,19,2.468318796,0,30.77828339,77139.45315,Brussels
7,20,2.819720813,0,30.77828339,77139.45315,Brussels
8,1,0.90621015,1,36.27101087,30606.54857,Hague
8,2,0.303051055,0,36.27101087,30606.54857,Hague
8,3,2.550676186,0,36.27101087,30606.54857,Hague
8,4,1.673737976,0,36.27101087,30606.54857,Hague
8,5,1.961715378,0,36.27101087,30606.54857,Hague
8,6,1.436878248,2,36.27101087,30606.54857,Hague
8,7,0.273872732,1,36.27101087,30606.54857,Hague
8,8,2.220190145,0,36.27101087,30606.54857,Hague
8,9,1.084394199,1,36.27101087,30606.54857,Hague
8,10,0.514364597,0,36.27101087,30606.54857,Hague
8,11,1.764852372,0,36.27101087,30606.54857,Hague
8,12,2.14375747,0,36.27101087,30606.54857,Hague
8,13,1.697407225,0,36.27101087,30606.54857,Hague
8,14,2.997162963,2,36.27101087,30606.54857,Hague
8,15,0.798766076,0,36.27101087,30606.54857,Hague
8,16,0.835761916,0,36.27101087,30606.54857,Hague
8,17,2.409156008,0,36.27101087,30606.54857,Hague
8,18,2.314941421,0,36.27101087,30606.54857,Hague
8,19,1.881411497,1,36.27101087,30606.54857,Hague
8,20,0.787832855,0,36.27101087,30606.54857,Hague
9,1,4.479588414,1,36.35064505,18729.38958,Amsterdam
9,2,2.03111483,0,36.35064505,18729.38958,Amsterdam
9,3,3.640681582,0,36.35064505,18729.38958,Amsterdam
9,4,0.254709298,1,36.35064505,18729.38958,Amsterdam
9,5,2.336907964,0,36.35064505,18729.38958,Amsterdam
9,6,3.066195837,0,36.35064505,18729.38958,Amsterdam
9,7,2.172505714,0,36.35064505,18729.38958,Amsterdam
9,8,1.684636845,1,36.35064505,18729.38958,Amsterdam
9,9,1.635694282,0,36.35064505,18729.38958,Amsterdam
9,10,1.585705381,1,36.35064505,18729.38958,Amsterdam
