Founding_Year,Job_Title,Salary_Estimate_k,Rating,Company_Name,Location,Size,Type_ownership,Industry,Sector
1884,Business Analyst - Clinical & Logistics Platform,102,3.9,"Memorial Sloan-Kettering
3.9","New York, NY",10000,Nonprofit Organization,Health Care Services & Hospitals,Health Care
1994,Business Analyst,102,3.8,"Paine Schwartz Partners
3.8","New York, NY",50,Company - Private,Venture Capital & Private Equity,Finance
2004,Data Analyst,102,3.6,"Asembia
3.6","Florham Park, NJ",1000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
1897,"Information Security Analyst, Incident Response",102,3.6,"BD
3.6","Franklin Lakes, NJ",10000,Company - Public,Health Care Products Manufacturing,Manufacturing
2007,Analyst - FP&A Global Revenue,102,3.4,"Rubicon Project
3.4","New York, NY",50,Company - Public,Internet,Information Technology
2019,Data Analyst,102,3.4,"Sapphire Digital
3.4","Lyndhurst, NJ",50,Company - Private,Internet,Information Technology
1863,Investment Analyst - Graduate,102,3.8,"Swiss Re
3.8","New York, NY",10000,Company - Public,Insurance Agencies & Brokerages,Insurance
1858,IT Business Process Analysis,102,3.8,"Bristol-Myers Squibb
3.8","Jersey City, NJ",10000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
1915,Tolling Business Analyst,102,4.2,"Gannett Fleming
4.2","New York, NY",100,Company - Private,Architectural & Engineering Services,Business Services
1926,Business Analyst - Risk,102,4.4,"McKinsey
4.4","New York, NY",10000,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,"PGIM Investments - Research Analyst, Strategic Investment Research Group",102,3.9,"PGIM
3.9","Newark, NJ",100,Company - Public,Investment Banking & Asset Management,Finance
2011,Business Development Analyst,102,4.4,"Red Balloon Security
4.4","New York, NY",50,Company - Private,Computer Hardware & Software,Information Technology
2009,"Senior Analyst, Business Intelligence (Looker BI)",102,4.1,"CB Insights
4.1","New York, NY",50,Company - Private,Enterprise Software & Network Solutions,Information Technology
2010,Business Systems Analyst,102,3.6,"Amplify
3.6","Brooklyn, NY",50,Company - Private,KInvestment Banking & Asset Management2 Education,Education
2000,Business Analyst,102,4.2,"Efficio
4.2","New York, NY",50,Company - Private,Consulting,Business Services
1871,Digital Analyst,102,3.1,"Upfield
3.1","Hackensack, NJ",100,Company - Private,Food & Beverage Manufacturing,Manufacturing
1937,Municipal Structured Products Analyst,102,3.7,"Mesirow Financial
3.7","New York, NY",1000,Company - Private,Investment Banking & Asset Management,Finance
1893,Senior Business Analyst,102,3.8,"Visiting Nurse Service of New York
3.8","New York, NY",10000,Nonprofit Organization,Health Care Services & Hospitals,Health Care
1996,Business Analyst,102,3.8,"NYSTEC
3.8","New York, NY",200,Nonprofit Organization,Consulting,Business Services
2009,Business Intelligence Analyst,102,3.4,"Venmo
3.4","New York, NY",200,Company - Public,Financial Transaction Processing,Finance
1962,Business Analyst - CRM,102,3.6,"Jefferies Financial Group Inc.
3.6","New York, NY",100,Company - Public,Investment Banking & Asset Management,Finance
2005,Senior FP&A Analyst,102,4.2,"Payoneer
4.2","New York, NY",100,Company - Private,Lending,Finance
1906,Business Analyst,102,3.8,"NBC Universal
3.8","New York, NY",10000,Company - Public,TV Broadcast & Cable Networks,Media
2008,Business Solutions Analyst,102,4.7,"TEEMA
4.7","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
1896,Data Analyst,102,4,"DMGT
4.0","New York, NY",10000,Company - Public,Venture Capital & Private Equity,Finance
1812,Operations Regulatory Control Change Lead Business Analyst - Vice President,102,3.7,"Citi
3.7","New York, NY",10000,Company - Public,Investment Banking & Asset Management,Finance
2003,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",102,3.4,"Squarespace
3.4","New York, NY",100,Company - Private,Internet,Information Technology
Investment Banking & Asset Management,Business Analyst,102,5,"Ellianse
5.0","New York, NY",200,Company - Public,Internet,Investment Banking & Asset Management
1864,KYC Business System Analyst,102,3.1,"MUFG
3.1","Jersey City, NJ",10000,Company - Public,Banks & Credit Unions,Finance
1972,Business Analyst,102,3.2,"iHeartRadio
3.2","New York, NY",10000,Company - Public,Radio,Media
2001,Business/Data Analyst (FP&A),78,4.4,"Two Sigma
4.4","New York, NY",100,Company - Private,Investment Banking & Asset Management,Finance
Investment Banking & Asset Management,Business Analyst,78,5,"Crossfire Consulting Corporation
5.0","New York, NY",200,Company - Private,Consulting,Business Services
2010,Business Analyst,78,3.5,"Russell Tobin & Associates
3.5","Jersey City, NJ",20,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
1992,Business Analyst / Project Manager,78,4.2,"Computer Resources of America
4.2","New York, NY",100,Company - Private,IT Services,Information Technology
2016,Business Analyst,78,4.8,"Wicket Labs
4.8","New York, NY",50,Company - Private,Enterprise Software & Network Solutions,Information Technology
1971,Business Analyst,78,3.6,"Nasdaq
3.6","New York, NY",100,Company - Public,Stock Exchanges,Finance
Investment Banking & Asset Management,Business Analyst,78,3.6,"Watermark
3.6","New York, NY",100,Company - Private,Advertising & Marketing,Business Services
2000,Business Analyst,78,3.8,"LanceSoft Inc
3.8","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
1998,Business Analyst,78,4.3,"Infowave Systems Inc
4.3","New York, NY",200,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2012,Integration Business Analyst,78,3.8,"Peloton
3.8","New York, NY",100,Company - Public,"Health, Beauty, & Fitness",Consumer Services
1839,BSA Analyst III,78,3,"The Provident Bank
3.0","Iselin, NJ",1000,Subsidiary_ Business_Segment,Banks & Credit Unions,Finance
1799,Business Analysis,78,3.9,"JPMorgan Chase
3.9","New York, NY",10000,Company - Public,Investment Banking & Asset Management,Finance
1690,Business Analyst,78,3.8,"Barclays
3.8","Whippany, NJ",10000,Company - Public,Banks & Credit Unions,Finance
1994,Business Analyst,78,3.5,"Riskcare
3.5","New York, NY",200,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst - Contract,78,3.4,"Atlantic Partners
3.4","New York, NY",200,Company - Private,Brokerage Services,Finance
2003,Business Analyst,78,4.5,"FADEL
4.5","New York, NY",200,Company - Private,Computer Hardware & Software,Information Technology
1999,Business Analyst,78,4.2,"CyberCoders
4.2","New York, NY",50,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
2007,Business Analyst,78,4.4,"Black Systems LLC
4.4","New York, NY",50,Company - Private,Computer Hardware & Software,Information Technology
2013,Business Analyst,78,3.8,"EZOPS
3.8","New York, NY",200,Company - Private,Financial Transaction Processing,Finance
1884,Radiology Systems Analyst,78,3.9,"Memorial Sloan-Kettering
3.9","New York, NY",10000,Nonprofit Organization,Health Care Services & Hospitals,Health Care
1985,Business Analyst,78,3.9,"The Alexander Group (AZ)
3.9","New York, NY",200,Company - Private,Consulting,Business Services
1871,Business Analyst,78,3.4,"Marsh & McLennan Companies, Inc.
3.4","Hoboken, NJ",10000,Company - Public,Insurance Agencies & Brokerages,Insurance
2006,Business Analyst,78,4,"XDuce
4.0","New York, NY",,Company - Private,IT Services,Information Technology
1812,Business Analyst,78,3.7,"Citi
3.7","New York, NY",10000,Company - Public,Investment Banking & Asset Management,Finance
2007,Business Analyst,78,3.3,"Capstone
3.3","New York, NY",200,Company - Private,Investment Banking & Asset Management,Finance
Investment Banking & Asset Management,Business Analyst,78,4.2,"Atlantic Group - New York
4.2","New York, NY",1000,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1862,Business Analyst,78,3.6,"UBS
3.6","Weehawken, NJ",10000,Company - Public,Investment Banking & Asset Management,Finance
1852,Application Systems Engineer 4 - Insight Analyst and Reporting,78,3.6,"Wells Fargo
3.6","New York, NY",10000,Company - Public,Banks & Credit Unions,Finance
Investment Banking & Asset Management,Entry Level Analyst,78,3.9,"Phyton Talent Advisors
3.9","New York, NY",50,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2006,Market Research & Insights Analyst - Healthline,159,3.5,"Healthline Media
3.5","New York, NY",50,Company - Private,News Outlet,Media
1986,Business Analyst,159,2.7,"Paris Baguette
2.7","Moonachie, NJ",100,Company - Private,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services"
1980,Ecommerce Business Analyst,159,2.8,"David Yurman
2.8","New York, NY",100,Company - Private,Beauty & Personal Accessories Stores,Retail
2012,Business Analyst,159,4.3,"Zealogics.com
4.3","New York, NY",50,Company - Private,IT Services,Information Technology
1897,TGS Central Teams Business Partner - Supply Chain Planning Lead,159,3.6,"BD
3.6","Franklin Lakes, NJ",10000,Company - Public,Health Care Products Manufacturing,Manufacturing
Investment Banking & Asset Management,Business Analyst,159,Investment Banking & Asset Management,SquarePeg,"New York, NY",50,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,159,3,"Blue Ocean Ventures
3.0","New York, NY",20,Company - Private,Staffing & Outsourcing,Business Services
1799,Business Analyst,159,3.9,"JPMorgan Chase
3.9","Jersey City, NJ",10000,Company - Public,Investment Banking & Asset Management,Finance
Investment Banking & Asset Management,Business Analyst,159,4.7,"Sharpedge Solutions Inc
4.7","Jersey City, NJ",200,Company - Private,Publishing,Media
1880,Business Analyst,159,3.7,"Munich Re
3.7","New York, NY",1000,Company - Public,Insurance Carriers,Insurance
