country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name
Romania,ROU,12/27/2020,965,965,0,0,0,0.01,0.01,0,0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,12/28/2020,2066,2066,0,1101,1101,0.01,0.01,0,57,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,12/29/2020,2778,2778,0,712,906,0.01,0.01,0,47,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,12/30/2020,5666,5666,0,2888,1567,0.03,0.03,0,81,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,12/31/2020,10289,10289,0,4623,2331,0.05,0.05,0,121,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/1/2021,11656,11656,0,1367,2138,0.06,0.06,0,111,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/2/2021,13242,13242,0,1586,2046,0.07,0.07,0,106,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/3/2021,13596,13596,0,354,1804,0.07,0.07,0,94,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/4/2021,25508,25508,0,11912,3349,0.13,0.13,0,174,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/5/2021,41609,41609,0,16101,5547,0.22,0.22,0,288,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/6/2021,58554,58554,0,16945,7555,0.3,0.3,0,393,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/7/2021,76400,76400,0,17846,9444,0.4,0.4,0,491,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/8/2021,92706,92706,0,16306,11579,0.48,0.48,0,602,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/9/2021,102301,102301,0,9595,12723,0.53,0.53,0,661,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/10/2021,108294,108294,0,5993,13528,0.56,0.56,0,703,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/11/2021,125190,125190,0,16896,14240,0.65,0.65,0,740,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/12/2021,140447,140447,0,15257,14120,0.73,0.73,0,734,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/13/2021,154268,154268,0,13821,13673,0.8,0.8,0,711,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/14/2021,154268,154268,0,0,11124,0.8,0.8,0,578,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/15/2021,183669,183669,0,29401,12995,0.95,0.95,0,675,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/16/2021,196090,196090,0,12421,13398,1.02,1.02,0,696,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/17/2021,204185,203310,875,8095,13699,1.06,1.06,0,712,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/18/2021,235239,233289,1950,31054,15721,1.22,1.21,0.01,817,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/19/2021,270046,267425,2621,34807,18514,1.4,1.39,0.01,962,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/20/2021,308384,302571,5813,38338,22017,1.6,1.57,0.03,1144,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/21/2021,348096,338253,9843,39712,27690,1.81,1.76,0.05,1439,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/22/2021,385936,374682,11254,37840,28895,2.01,1.95,0.06,1502,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/23/2021,418885,406007,12878,32949,31828,2.18,2.11,0.07,1654,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/24/2021,446285,433130,13155,27400,34586,2.32,2.25,0.07,1798,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/25/2021,484631,459568,25063,38346,35627,2.52,2.39,0.13,1852,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/26/2021,528378,487712,40666,43747,36905,2.75,2.54,0.21,1918,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/27/2021,570704,513430,57274,42326,37474,2.97,2.67,0.3,1948,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/28/2021,609396,534347,75049,38692,37329,3.17,2.78,0.39,1940,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/29/2021,647000,554925,92075,37604,37295,3.36,2.88,0.48,1939,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/30/2021,672396,571092,101304,25396,36216,3.5,2.97,0.53,1883,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,1/31/2021,691415,585219,106196,19019,35019,3.59,3.04,0.55,1820,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/1/2021,721184,598136,123048,29769,33793,3.75,3.11,0.64,1757,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/2/2021,748732,610384,138348,27548,31479,3.89,3.17,0.72,1636,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/3/2021,772202,620177,152025,23470,28785,4.01,3.22,0.79,1496,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/4/2021,794795,629280,165515,22593,26486,4.13,3.27,0.86,1377,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/5/2021,821552,638887,182665,26757,24936,4.27,3.32,0.95,1296,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/6/2021,840812,647691,193121,19260,24059,4.37,3.37,1,1251,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/7/2021,856322,656178,200144,15510,23558,4.45,3.41,1.04,1225,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/8/2021,891348,661063,230285,35026,24309,4.63,3.44,1.2,1264,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/9/2021,930155,666943,263212,38807,25918,4.84,3.47,1.37,1347,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/10/2021,970967,671449,299518,40812,28395,5.05,3.49,1.56,1476,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/11/2021,1009421,675234,334187,38454,30661,5.25,3.51,1.74,1594,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
