Month,Date,Marketing_Channel,Actual_Revenue,Forecast_r
2/1/2021,1/1/2021,Influencer Marketing,200,10000
1/1/2021,1/1/2021,Influencer Marketing,200,4200
2/1/2021,1/1/2021,Social media,500,11900
1/1/2021,1/1/2021,Social media,500,2500
2/1/2021,1/1/2021,affiliate,600,22400
1/1/2021,1/1/2021,affiliate,600,4600
2/1/2021,1/1/2021,search engine marketing,1000,18000
1/1/2021,1/1/2021,search engine marketing,1000,3900
2/1/2021,2/2/2021,Social media,1000,29000
1/1/2021,2/2/2021,Social media,1000,20000
2/1/2021,2/5/2021,affiliate,1000,12900
1/1/2021,2/5/2021,affiliate,1000,3300
2/1/2021,1/1/2021,crm,2000,12000
1/1/2021,1/1/2021,crm,2000,16800
2/1/2021,2/4/2021,crm,2000,34560
1/1/2021,2/4/2021,crm,2000,5500
2/1/2021,2/6/2021,Influencer Marketing,2000,6000
1/1/2021,2/6/2021,Influencer Marketing,2000,4600
2/1/2021,2/3/2021,search engine marketing,2500,31500
1/1/2021,2/3/2021,search engine marketing,2500,7800
