Date,Months,Month,Year,Electrica_Price,BRD_Price,SNP_Price,TLV_price,SNG_price
19-Feb,Feb,2,2019,2.51756,2.85324,0.08176,0.45556,7.265
19-Jan,Jan,1,2019,2.31208,2.4185,0.07788,0.3797,6.7718
18-Dec,Dec,12,2018,2.39146,2.81058,0.07372,0.49432,6.85387
18-Nov,Nov,11,2018,2.78961,3.44051,0.09091,0.58239,8.80928
18-Oct,Oct,10,2018,2.62142,3.16513,0.09454,0.56312,8.2648
18-Sep,Sep,9,2018,2.62554,3.37926,0.09047,0.57902,8.4232
18-Aug,Aug,8,2018,2.56731,3.5582,0.08207,0.58803,8.1323
18-Jul,Jul,7,2018,2.40433,3.47236,0.08048,0.57193,7.73183
18-Jun,Jun,6,2018,2.46691,3.28921,0.08035,0.60168,9.36372
18-May,May,5,2018,2.48004,3.11261,0.07681,0.59742,8.79813
18-Apr,Apr,4,2018,2.72885,3.89095,0.08884,0.66535,9.64956
18-Mar,Mar,3,2018,3.10024,4.00117,0.08426,0.69424,10.00291
18-Feb,Feb,2,2018,3.01347,3.66857,0.08123,0.642,9.56449
18-Jan,Jan,1,2018,3.19351,3.60471,0.08184,0.64084,9.13193
