Marketing_Channel,Month,Date,Revenue_as_Percentage
Influencer Marketing,1/1/2021,2/6/2021,-300
search engine marketing,2/1/2021,2/3/2021,-150
affiliate,1/1/2021,2/5/2021,-42.8571
search engine marketing,1/1/2021,2/3/2021,-25
affiliate,2/1/2021,2/5/2021,-25
search engine marketing,2/1/2021,1/1/2021,0
affiliate,1/1/2021,1/1/2021,14.2857
Influencer Marketing,2/1/2021,2/6/2021,20
affiliate,2/1/2021,1/1/2021,25
crm,2/1/2021,1/1/2021,33.3333
crm,1/1/2021,1/1/2021,33.3333
Social media,1/1/2021,2/2/2021,33.3333
crm,2/1/2021,2/4/2021,33.3333
crm,1/1/2021,2/4/2021,33.3333
search engine marketing,1/1/2021,1/1/2021,50
Influencer Marketing,1/1/2021,1/1/2021,60
Social media,2/1/2021,2/2/2021,60
Social media,1/1/2021,1/1/2021,66.6667
Social media,2/1/2021,1/1/2021,80
Influencer Marketing,2/1/2021,1/1/2021,92
