index,company,px,Profit,avg.sales,Profit_margin
0,alfa-romero,168.8,111,21,13495
1,alfa-romero,168.8,111,21,16500
2,alfa-romero,171.2,154,19,16500
3,audi,176.6,102,24,13950
4,audi,176.6,115,18,17450
5,audi,177.3,110,19,15250
6,audi,192.7,110,19,18920
9,bmw,176.8,101,23,16430
10,bmw,176.8,101,23,16925
11,bmw,176.8,121,21,20970
13,bmw,189,182,16,30760
14,bmw,193.8,182,16,41315
15,bmw,197,182,15,36880
16,chevrolet,141.1,48,47,5151
17,chevrolet,155.9,70,38,6295
18,chevrolet,158.8,70,38,6575
19,dodge,157.3,68,31,6377
20,dodge,157.3,68,31,6229
27,honda,157.1,76,30,7295
28,honda,175.4,101,24,12945
29,honda,169.1,100,25,10345
30,isuzu,170.7,78,24,6785
31,isuzu,155.9,70,38,
32,isuzu,155.9,70,38,
33,jaguar,199.6,176,15,32250
34,jaguar,199.6,176,15,35550
35,jaguar,191.7,262,13,36000
36,mazda,159.1,68,30,5195
37,mazda,159.1,68,31,6095
38,mazda,159.1,68,31,6795
39,mazda,169,101,17,11845
43,mazda,175,72,31,18344
44,mercedes-benz,190.9,123,22,25552
45,mercedes-benz,190.9,123,22,28248
46,mercedes-benz,208.1,184,14,40960
47,mercedes-benz,199.2,184,14,45400
49,mitsubishi,157.3,68,37,5389
50,mitsubishi,157.3,68,31,6189
51,mitsubishi,172.4,88,25,6989
52,mitsubishi,172.4,88,25,8189
53,nissan,165.3,55,45,7099
54,nissan,165.3,69,31,6649
55,nissan,165.3,69,31,6849
56,nissan,170.2,69,31,7349
57,nissan,184.6,152,19,13499
61,porsche,168.9,207,17,34028
62,porsche,168.9,207,17,37028
63,porsche,175.7,288,17,
66,toyota,158.7,62,35,5348
67,toyota,158.7,62,31,6338
68,toyota,158.7,62,31,6488
69,toyota,169.7,62,31,6918
70,toyota,169.7,62,27,7898
71,toyota,169.7,62,27,8778
79,toyota,187.8,156,19,15750
80,volkswagen,171.7,52,37,7775
81,volkswagen,171.7,85,27,7975
82,volkswagen,171.7,52,37,7995
86,volkswagen,171.7,100,26,9995
87,volvo,188.8,114,23,12940
88,volvo,188.8,114,23,13415
