judet, Alba , Arad , Arges , Bacau , Bihor , Bistrita Nasaud , Botosani , Braila , Brasov , Bucuresti , Buzau , Calarasi , Caras-Severin , Cluj , Constanta , Covasna , Dambovita , Dolj , Galati , Giurgiu , Gorj , Harghita , Hunedoara , Ialomita , Iasi , Ilfov , Maramures , Mehedinti , Mures , Neamt , Olt , Prahova , Salaj , Satu Mare , Sibiu , Suceava , Teleorman , Timis , Tulcea , Valcea , Vaslui , Vrancea 
medierea_muncii ,384,199,322,371,177,206,170,378,121,698,889,78,208,163,190,181,475,304,300,180,243,150,564,209,166,68,271,161,141,393,130,352,227,259,147,189,292,1396,94,248,227,158
medierea_ muncii_nedeterminat,230,158,232,313,155,183,156,368,84,606,860,56,149,146,121,178,352,244,272,175,201,133,462,129,159,59,249,85,116,363,105,286,199,241,114,168,270,1373,90,224,217,118
medierea_ muncii_determinat,154,41,90,58,22,23,14,10,37,92,29,22,59,17,69,3,123,60,28,5,42,17,102,80,7,9,22,76,25,30,25,66,28,18,33,21,22,23,4,24,10,40
formare_ profesionala,0,1,21,6,5,0,0,1,0,3,2,6,3,0,11,12,7,8,5,0,4,14,42,2,23,2,4,0,17,2,3,16,3,10,0,12,2,1,3,9,19,1
venituri_somerilor_ preexpirare_somaj,9,38,33,28,66,0,4,7,31,46,16,0,4,22,26,10,25,36,18,4,0,13,26,9,24,3,22,0,28,8,20,42,21,2,5,9,17,10,0,6,3,0
prima _someri_ neindemnizati,4,0,7,11,5,0,0,8,6,11,0,0,1,28,4,1,10,0,7,1,11,0,10,4,0,0,11,0,2,1,0,10,10,0,0,9,6,6,0,0,1,0
subventii_someri_ >45ani ,4,0,10,48,0,0,0,36,16,0,0,0,5,0,0,0,101,0,0,0,0,68,31,0,183,35,0,0,13,13,0,126,0,0,0,0,0,1,0,31,0,0
subventii_someri_monoparentali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subventii_angajati_NEETs,32,13,0,33,27,0,0,0,1,0,0,0,4,35,0,0,0,0,0,0,0,30,41,0,2,0,0,0,29,2,0,32,28,0,19,42,0,3,0,0,0,0
subventii_angajatorilor_someri_neindemnizati,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
subventii_angajatori_ptangajati5ani_inaintepensie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
subventii_incadrare_distanta_>15km ,15,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
subventii_distanta_>50 km_relocare,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subventii_prima_relocare,2,3,1,1,2,0,0,0,0,2,0,0,0,20,0,0,0,3,1,0,4,1,2,0,1,0,0,0,0,5,2,6,1,0,0,3,1,0,0,2,2,0
subventii_angajatoript_graduates,0,0,0,18,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,3,0,10,0,0,0,16,1,0,5,9,0,3,0,0,3,0,0,0,0
subventii_insertie_graduates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
subventii_angajatorilor_persoane_handicap,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Servicii_consultanta_incepere_afaceri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
