Year,Month,Day,Season,Hour,Day_Time,Price,Number_Bikes,holiday,weekday,workingday,weather_forecast
2020,Jan,1,winter,0,Morgen,654,31,0,Sunday,No,poor
2020,Jan,2,winter,1,Morgen,670,131,0,Monday,No,poor
2020,Jan,3,winter,2,Mittag,1229,120,0,Tuesday,Yes,very good
2020,Jan,4,winter,3,Mittag,1454,108,0,Wednesday,Yes,very good
2020,Jan,5,winter,4,Mittag,1518,82,0,Thursday,Yes,very good
2020,Jan,6,winter,5,Mittag,1518,88,0,Friday,Yes,very good
2020,Jan,7,winter,6,Morgen,1362,148,0,Saturday,Yes,poor
2020,Jan,8,winter,7,Morgen,891,68,0,Sunday,No,poor
2020,Jan,9,winter,8,Mittag,768,54,0,Monday,No,very good
2020,Jan,10,winter,9,Mittag,1280,41,0,Tuesday,Yes,very good
2020,Jan,11,winter,10,Morgen,1220,43,0,Wednesday,Yes,poor
2020,Jan,12,winter,11,Mittag,1137,25,0,Thursday,Yes,very good
2020,Jan,13,winter,12,Mittag,1368,38,0,Friday,Yes,very good
2020,Jan,14,winter,13,Mittag,1367,54,0,Saturday,Yes,very good
2020,Jan,15,winter,14,Morgen,1026,222,0,Sunday,No,poor
2020,Jan,16,winter,15,Mittag,953,251,0,Monday,No,very good
2020,Jan,17,winter,16,Morgen,883,117,1,Tuesday,No,poor
2020,Jan,18,winter,17,Morgen,674,9,0,Wednesday,Yes,poor
2020,Jan,19,winter,18,Morgen,1572,78,0,Thursday,Yes,poor
2020,Jan,20,winter,19,Morgen,1844,83,0,Friday,Yes,poor
2020,Jan,21,winter,20,Mittag,1468,75,0,Saturday,Yes,very good
2020,Jan,22,winter,21,Mittag,888,93,0,Sunday,No,very good
2020,Jan,23,winter,22,Mittag,836,150,0,Monday,No,very good
2020,Jan,24,winter,23,Mittag,1330,86,0,Tuesday,Yes,very good
2020,Jan,25,winter,0,Morgen,1799,186,0,Wednesday,Yes,poor
2020,Jan,26,winter,1,Abend,472,34,0,Thursday,Yes,very poor
2020,Jan,27,winter,2,Mittag,416,15,0,Friday,Yes,very good
2020,Jan,28,winter,3,Morgen,1129,38,0,Saturday,Yes,poor
2020,Jan,29,winter,4,Mittag,975,123,0,Sunday,No,very good
2020,Jan,30,winter,6,Mittag,956,140,0,Monday,No,very good
2020,Jan,31,winter,7,Morgen,1459,42,0,Tuesday,Yes,poor
2020,Feb,1,winter,8,Morgen,1313,47,0,Wednesday,Yes,poor
2020,Feb,2,winter,9,Morgen,1454,72,0,Thursday,Yes,poor
2020,Feb,3,winter,10,Mittag,1489,61,0,Friday,Yes,very good
2020,Feb,4,winter,11,Morgen,1620,88,0,Saturday,Yes,poor
2020,Feb,5,winter,12,Morgen,905,100,0,Sunday,No,poor
2020,Feb,6,winter,13,Mittag,1269,354,0,Monday,No,very good
2020,Feb,7,winter,14,Mittag,1592,120,0,Tuesday,Yes,very good
2020,Feb,8,winter,15,Mittag,1466,64,0,Wednesday,Yes,very good
2020,Feb,9,winter,16,Morgen,1552,53,0,Thursday,Yes,poor
2020,Feb,10,winter,17,Mittag,1491,47,0,Friday,Yes,very good
2020,Feb,11,winter,18,Mittag,1597,149,0,Saturday,Yes,very good
2020,Feb,12,winter,19,Mittag,1184,288,0,Sunday,No,very good
2020,Feb,13,winter,20,Mittag,1192,397,0,Monday,No,very good
2020,Feb,14,winter,21,Mittag,1705,208,0,Tuesday,Yes,very good
2020,Feb,15,winter,22,Mittag,1675,140,0,Wednesday,Yes,very good
2020,Feb,16,winter,23,Mittag,1897,218,0,Thursday,Yes,very good
2020,Feb,17,winter,0,Mittag,2216,259,0,Friday,Yes,very good
2020,Feb,18,winter,1,Mittag,2348,579,0,Saturday,Yes,very good
2020,Feb,19,winter,4,Mittag,1103,532,0,Sunday,No,very good
2020,Feb,20,winter,5,Mittag,1173,639,0,Monday,No,very good
2020,Feb,21,winter,6,Morgen,912,195,1,Tuesday,No,poor
2020,Feb,22,winter,7,Mittag,1376,74,0,Wednesday,Yes,very good
2020,Feb,23,winter,8,Mittag,1778,139,0,Thursday,Yes,very good
2020,Feb,24,winter,9,Morgen,1707,100,0,Friday,Yes,poor
2020,Feb,25,winter,10,Morgen,1341,120,0,Saturday,Yes,poor
2020,Feb,26,winter,11,Mittag,1545,424,0,Sunday,No,very good
2020,Feb,27,winter,12,Mittag,1708,694,0,Monday,No,very good
2020,Feb,28,winter,13,Morgen,1365,81,0,Tuesday,Yes,poor
2020,Mar,1,winter,14,Mittag,1714,137,0,Wednesday,Yes,very good
2020,Mar,2,winter,15,Mittag,1903,231,0,Thursday,Yes,very good
2020,Mar,3,winter,16,Mittag,1562,123,0,Friday,Yes,very good
2020,Mar,4,winter,17,Morgen,1730,214,0,Saturday,Yes,poor
2020,Mar,5,winter,18,Morgen,1437,640,0,Sunday,No,poor
2020,Mar,6,winter,19,Morgen,491,114,0,Monday,No,poor
2020,Mar,7,winter,20,Mittag,1628,244,0,Tuesday,Yes,very good
2020,Mar,8,winter,21,Mittag,1817,316,0,Wednesday,Yes,very good
2020,Mar,9,winter,22,Morgen,1700,191,0,Thursday,Yes,poor
2020,Mar,10,winter,23,Abend,577,46,0,Friday,Yes,very poor
2020,Mar,11,winter,0,Morgen,1730,247,0,Saturday,Yes,Poor
2020,Mar,12,winter,1,Mittag,1408,724,0,Sunday,No,very good
2020,Mar,13,winter,2,Mittag,1435,982,0,Monday,No,very good
2020,Mar,14,winter,4,Mittag,1687,359,0,Tuesday,Yes,very good
2020,Mar,15,winter,5,Morgen,1767,289,0,Wednesday,Yes,poor
2020,Mar,16,winter,6,Morgen,1871,321,0,Thursday,Yes,poor
2020,Mar,17,winter,7,Mittag,2320,424,0,Friday,Yes,very good
2020,Mar,18,winter,8,Mittag,2355,884,0,Saturday,Yes,very good
2020,Mar,19,winter,9,Mittag,1693,424,0,Sunday,No,very good
2020,Mar,20,winter,10,Mittag,1424,104,0,Monday,No,very good
2020,Mar,21,spring,11,Morgen,1676,401,0,Tuesday,Yes,poor
2020,Mar,22,spring,12,Mittag,2243,460,0,Wednesday,Yes,very good
2020,Mar,23,spring,13,Morgen,1918,203,0,Thursday,Yes,poor
2020,Mar,24,spring,14,Morgen,1699,166,0,Friday,Yes,poor
2020,Mar,25,spring,15,Mittag,1910,300,0,Saturday,Yes,very good
2020,Mar,26,spring,16,Mittag,1515,981,0,Sunday,No,very good
2020,Mar,27,spring,17,Morgen,1221,472,0,Monday,No,poor
2020,Mar,28,spring,18,Mittag,1806,222,0,Tuesday,Yes,very good
2020,Mar,29,spring,19,Mittag,2108,317,0,Wednesday,Yes,very good
2020,Mar,30,spring,20,Morgen,1368,168,0,Thursday,Yes,poor
2020,Mar,31,spring,21,Abend,1506,179,0,Friday,Yes,very poor
2020,Apr,1,spring,22,Morgen,1920,307,0,Saturday,Yes,poor
2020,Apr,2,spring,23,Morgen,1354,898,0,Sunday,No,poor
2020,Apr,3,spring,0,Mittag,1598,651,0,Monday,No,very good
2020,Apr,4,spring,1,Mittag,2381,734,0,Tuesday,Yes,very good
2020,Apr,5,spring,2,Morgen,1628,167,0,Wednesday,Yes,poor
2020,Apr,6,spring,4,Mittag,2395,413,0,Thursday,Yes,very good
2020,Apr,7,spring,5,Mittag,2570,571,0,Friday,Yes,very good
2020,Apr,8,spring,6,Morgen,1299,172,0,Saturday,Yes,poor
2020,Apr,9,spring,7,Morgen,1576,879,0,Sunday,No,poor
2020,Apr,10,spring,8,Morgen,1707,188,0,Monday,No,poor
2020,Apr,11,spring,9,Morgen,2493,855,0,Tuesday,Yes,poor
2020,Apr,12,spring,10,Morgen,1777,257,0,Wednesday,Yes,poor
2020,Apr,13,spring,11,Morgen,1953,209,0,Thursday,Yes,poor
2020,Apr,14,spring,12,Mittag,2738,529,0,Friday,Yes,very good
2020,Apr,15,spring,13,Mittag,2484,642,1,Saturday,No,very good
2020,Apr,16,spring,14,Abend,674,121,0,Sunday,No,very poor
2020,Apr,17,spring,15,Mittag,2186,58,0,Monday,No,very good
2020,Apr,18,spring,16,Mittag,2760,669,0,Tuesday,Yes,very good
2020,Apr,19,spring,17,Morgen,2795,409,0,Wednesday,Yes,poor
2020,Apr,20,spring,18,Mittag,3331,613,0,Thursday,Yes,very good
2020,Apr,21,spring,19,Mittag,3444,745,0,Friday,Yes,very good
