CustomerID,Domain,Service_price,Annual Income (k$),Spending_patt
1,BI_consultant,85,15,39
2,BI_consultant,119,15,81
3,Py_automation,30,16,6
4,Marketing_DA,65,16,77
5,Excel_Expert,29,17,40
6,BI_VBA,30,17,76
7,DA,157,18,6
8,DA_Conversion_R,55,18,94
9,BI_consultant,60,19,3
10,DA_Scraping,50,19,72
11,Py_DA,20,19,14
12,DA,50,19,99
13,BI_consultant,30,20,15
14,DA,35,20,77
15,Marketing_DA,95,20,13
16,BI_Architect ,60,20,79
17,Py_ML,51,21,35
18,BI_consultant,59,21,66
19,Data_Science,100,23,29
20,Py_automation,65,23,98
21,DA,40,24,35
22,BI_consultant,80,24,73
23,BI_consultant,65,25,5
24,BI_consultant,80,25,73
25,DA_engineering,78,28,14
26,Data_Science,40,28,82
27,DA,59,28,32
28,Data_Science,35,28,61
29,DA,40,29,31
30,DA,30,29,87
31,Data_Science,25,30,4
32,BI_consultant,100,30,73
33,DA,50,33,4
34,Py_DA,50,33,92
35,BI_consultant,20,33,14
36,BI_consultant,50,33,81
37,BI_consultant,30,34,17
38,Py_DA,37,34,73
39,DA,50,37,26
40,Data_Science,25,37,75
41,Data_Science,97,38,35
42,DA,45,38,92
43,BI_consultant,50,39,36
44,BI_consultant,50,39,61
45,Data_Science,30,39,28
46,DA,45,39,65
47,Data_Science,65,40,55
48,BI_consultant,50,40,47
49,DA,40,40,42
50,BI_consultant,40,40,42
51,BI_consultant,30,42,52
52,BI_consultant,60,42,60
53,DA,75,43,54
54,Marketing_DA,40,43,60
55,DA_Excel,60,43,45
56,Data_Science,75,43,41
57,Data_Science,50,44,50
58,DA,30,44,46
59,Data_Science,30,46,51
60,BI_consultant,40,46,46
61,BI_consultant,100,46,56
62,BI_consultant,50,46,55
63,BI_consultant,50,47,52
64,BI_consultant,50,47,59
65,BI_consultant,25,48,51
66,Data_Science,80,48,59
67,Data_Science,80,48,50
68,DA,85,48,48
69,BI_consultant,150,48,59
70,DA,35,48,47
71,Data_Science,45,49,55
72,Py_DA,45,49,42
73,DA,35,50,49
74,DA_Architect,125,50,56
75,DA,49,54,47
76,DA,49,54,54
77,BI_consultant,80,54,53
78,BI_consultant,80,54,48
79,DA,50,54,52
80,PY_DA,35,54,42
81,DA_Scraping,35,54,51
82,DA,45,54,55
83,BI_consultant,75,54,41
84,Data_visualization,35,54,44
85,BI_consultant,42,54,57
86,DA,45,54,46
87,DA,30,57,58
88,Data_Science,40,57,55
89,Py_DA,35,58,60
90,Data_visualization,55,58,46
91,BI_consultant,65,59,55
92,Data_Science,45,59,41
93,BI_consultant,39,60,49
94,Data_Science,60,60,40
95,BI_consultant,65,60,42
96,DA,30,60,52
97,DA,30,60,47
98,DA,35,60,50
99,BI_consultant,60,61,42
100,DA,40,61,49
101,Data_Science,60,62,41
102,BI_consultant,60,62,48
103,DA,45,62,59
104,Data_Science,60,62,55
105,BI_consultant,45,62,56
106,DA,45,62,42
107,BI_consultant,60,63,50
108,BI_consultant,55,63,46
109,BI_consultant,45,63,43
110,Data_Science,65,63,48
111,Data_visualization,40,63,52
112,Data_visualization,45,63,54
113,BI_consultant,50,64,42
114,BI_consultant,60,64,46
115,BI_consultant,120,65,48
116,DA,65,65,50
117,BI_consultant,120,65,43
118,BA,55,65,59
119,DA,60,67,43
120,BI_consultant,65,67,57
121,Data_Science,100,67,56
122,BI_consultant,120,67,40
123,Data_visualization,40,69,58
124,BI_consultant,55,69,91
125,Data_visualization,45,70,29
126,BI_consultant,50,70,77
127,Data_Science,60,71,35
128,Data_Science,120,71,95
129,BA,80,71,11
130,BI_consultant,80,71,75
131,BI_consultant,55,71,9
132,BI_consultant,80,71,75
133,BA,100,72,34
134,DA,50,72,71
135,BI_consultant,84,73,5
136,Data_Science,45,73,88
137,BI_consultant,60,73,7
138,DA,55,73,73
139,BA,40,74,10
140,BA,75,74,72
141,DA,45,75,5
142,DA,55,75,93
143,Data_visualization,60,76,40
144,Data_visualization,55,76,87
145,BI_consultant,65,77,12
146,BI_consultant,60,77,97
147,BI_consultant,80,77,36
148,BI_consultant,55,77,74
149,BI_consultant,65,78,22
