customer_id,registered_at,pricing_category,base_price,membership_duration_months
0JSOR6N8GY,23-03-2020,unit_price,22,12
2GZU9UBAV9,19-01-2020,unit_price,18,6
2ULS7ZN54Y,1/12/2019,unit_price,17,6
3DOUPD5BZM,25-03-2020,monthly_fixed,1500,12
451QZOK3DG,7/3/2020,unit_price,15,6
4OB6OM9VMG,30-04-2020,unit_price,0,3
4XR1WHMIO7,8/2/2020,unit_price,17,12
4XZ8FV6OFD,21-03-2020,monthly_fixed,750,12
9WMN6WSAVP,11/2/2020,monthly_fixed,1400,12
A4FI11E5VB,26-01-2020,monthly_fixed,1750,12
AFNQH9L6XK,30-04-2020,unit_price,0,12
ATNAHKL9NU,15-03-2020,monthly_fixed,1750,12
B28F3CXQI4,20-12-2019,monthly_fixed,2750,12
BF3NAI2LEH,25-11-2019,unit_price,17,12
G2L0MV8HZ8,16-03-2020,monthly_fixed,3750,12
GH00IAM6QC,29-03-2020,unit_price,17,6
HQ5V8WLYST,23-01-2020,monthly_fixed,3800,12
J7OYUOIRVG,27-02-2020,unit_price,17,12
KLSVTBC4GW,28-03-2020,monthly_fixed,4150,12
KXX6VVR06Z,15-03-2020,unit_price,16,12
L253I65EKP,3/3/2020,unit_price,23,12
MRC4H10V3H,2/1/2020,unit_price,22,24
MY9RW0HVDB,24-03-2020,unit_price,22,6
O99EOVQ0IU,17-12-2019,unit_price,18,6
ODAFFL4ASE,21-03-2020,unit_price,27,12
PCSV171SJC,19-03-2020,monthly_fixed,1400,6
PKDDO2HCEY,13-03-2020,unit_price,24,6
Q1NUPAWOLE,18-03-2020,monthly_fixed,3800,12
SD3PK9AUMF,29-03-2020,monthly_fixed,1750,12
T55H6PJPPY,24-03-2020,unit_price,21,12
VSYAVX07JQ,11/3/2020,unit_price,16,6
VY3BWS37DE,17-01-2020,monthly_fixed,2000,12
X0B1R4JV02,7/3/2020,monthly_fixed,3500,12
X9MROYPZ7E,30-04-2020,unit_price,0,6
XZNBKQGBTJ,31-10-2019,unit_price,18,12
YOFDW3OB7B,20-03-2020,unit_price,21,12
YXXS8WV7RS,6/12/2019,monthly_fixed,1200,6
ZWHFYNIY3U,6/12/2019,unit_price,18,12
