Date,VatTax,TaxAmount,TotalAamount,Currency,Category,Supplier ,Company
1-Jan-19,19%,3.17,19.83,EUR,Licenses and concessions,70079,Google Commerce Limited
9-Jan-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,Haufe Service Center GmbH
7-Jan-19,0%,0,130.69,EUR,Freelancer,70001,Joanne Emmerich translator 
8-Jan-19,19%,0.84,9.08,EUR,Office supplies,70049,German Post AG
8-Jan-19,0%,0,9.08,EUR,Postage,70049,German Post AG
17-Dec-19,0%,0,500,EUR,Guild and association contributions,70076,Guild and association contributions Alliance for Rural Electrification
9-Jan-19,19%,4.79,30,EUR,Representation costs ,70068,Renewables AG
17-Jan-19,0%,0,864.19,EUR,Sales Tax Prepayments,70001,Supplier sales tax prepayments 
1-Apr-19,0%,0,38.5,EUR,Garbage fees,70038,Landkreis SHA Kreiskasse
11-Feb-19,0%,0,"2,240",EUR,Freelancer,70061,Hacksoft LTD Sofia
11-Feb-19,0%,0,"2,240.00",EUR,Freelancer,70061,Hacksoft LTD Sofia
19-Feb-19,0%,0,"2,054.73",EUR,Air ticket,70037,MasterCard Sparkasse SHA-CR  
19-Feb-19,19%,14.05,"2,054.73",EUR,Air ticket,70037,MasterCard Sparkasse SHA-CR  
19-Feb-19,0%,0,"2,054.73",EUR,Accommodation costs,70037,MasterCard Sparkasse SHA-CR
19-Feb-19,0%,0,"2,054.73",EUR,Marketing,70037,MasterCard Sparkasse SHA-CR
19-Feb-19,0%,0,"2,054.73",EUR,Licenses and concessions,70037,MasterCard Sparkasse SHA-CR
12-Feb-19,0%,0,"3,780.00",EUR,Freelancer ,70062,Freelancer Hostandstore OOD 1Vasil Levski str
15-Feb-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,Haufe Service Center GmbH
5-Feb-19,0%,0,110,EUR,Travel MA,70064,1&1 Internet SE
7-Feb-19,0%,0,30.99,EUR,Postage,70049,Deutsche Post AG
12-Feb-19,0%,0,178.39,EUR,Purchase of materials,70080,Amazon
11-Mar-19,19%,0,"1,190.00",EUR,Fair costs,70089,TM Freiburg Wirtschaft Touristik und Messe GmbH
11-Feb-19,0%,0,980,EUR,Freelancer,70073, Freelance Tamas Soos Szekszard Freelance programming 
11-Feb-19,0%,0,"1,032.00",EUR,Freelancer,70073, Freelance Tamas Soos Szekszard Freelance programming 
11-Feb-19,0%,0,"1,032.00",EUR,Other expenses,70073, Freelance Tamas Soos Szekszard Freelance programming 
1-Apr-19,19%,22.96,143.8,EUR,Air ticket,70001,Ticket Supplier
19-Feb-19,0%,0,16,EUR,Postage,70040,Deutsche Post AG
21-Feb-19,0%,0,197.04,EUR,Air ticket,70085,E-Dreams supplier
7-Mar-19,19%,0,119.01,EUR,Purchase of materials,70034,FEGA & Schmitt Elektrogroﬂhandel GmbH
26-Feb-19,0%,0,36.06,EUR,Public transportation,70001,Material Supplier
26-Feb-19,19%,70.95,444.4,EUR,Other expenses,70084,VARIA System GmbF
26-Feb-19,19%,269.34,"1,686.90",EUR,Material / Goods,70086,Material Purchase
28-Feb-19,19%,70.95,444.4,EUR,Material / Goods,70084,VARIA System GmbF
1-Mar-19,7%,2.95,69.58,EUR,Business meetings,70064,1&1 Internet SE
1-Mar-19,19%,2.86,69.58,EUR,Business meetings,70064,1&1 Internet SE
1-Mar-19,0%,0,69.58,EUR,Business meetings,70064,1&1 Internet SE
1-Mar-19,19%,3.59,22.47,EUR,Business meetings,70001,Supplier
1-Mar-19,7%,0.75,13.99,EUR,Other expenses,70001,Supplier
1-Mar-19,19%,0.41,13.99,EUR,Business meetings,70001,Supplier
12-Mar-19,0%,0,"2,640.00",EUR,Freelancer,70061,Hacksoft LTD Sofia
4-Mar-19,0%,0,3.2,EUR,Public transportation,70001,Supplier
1-Mar-19,19%,9.74,61,EUR,Air ticket,70001,Car rent
15-Feb-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,MasterCard Sparkasse SHA-CR
15-Feb-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,MasterCard Sparkasse SHA-CR
19-Mar-19,0%,0,"2,609.22",EUR,Air ticket,70037,MasterCard Sparkasse SHA-CR
19-Mar-19,19%,52.4,"2,609.22",EUR,Air ticket,70037,MasterCard Sparkasse SHA-CR
19-Mar-19,19%,269.34,"2,609.22",EUR,Material / Goods,70037,Logistics purchasing
19-Mar-19,0%,0,"2,609.22",EUR,Accommodation costs,70037,Accommodation Airbnb 
4-Mar-19,7%,2.82,43.06,EUR,Other expenses,70001,Other costs
4-Mar-19,19%,0.38,36,EUR,Other expenses,70001,Othercosts
4-Mar-19,7%,2.2,36,EUR,Business meetings,70001,Business meetings
8-Mar-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,Licenses and concessions
12-Mar-19,0%,0,"4,040.00",EUR,Freelancer,70062,Freelancer Hostandstore OOD 1Vasil Levski str
5-Mar-19,19%,0.21,19.72,EUR,Business meetings,70001,Business meetings
5-Mar-19,7%,1.21,19.72,EUR,Business meetings,70001,Business meetings
5-Mar-19,19%,207.48,"1,299.50",EUR,Material / Goods,70086,Logistics purchasing
1-Apr-19,19%,8.34,74.6,EUR,Entertainment expenses,70104,Beat Bowl
1-Apr-19,19%,3.57,74.6,EUR,Entertainment expenses,70104,Beat Bowl
1-Apr-19,0%,0,30,EUR,Other expenses,70035,Other costs
11-Mar-19,7%,1.43,21.9,EUR,Attentions,70001,Attentions
1-Mar-19,0%,0,13.8,EUR,Purchase of materials,70001,Material purchase
22-Mar-19,0%,0,90.75,EUR,Postage,70053,Postage
11-Mar-19,0%,0,7.74,EUR,Public transportation,70001,Public transportation
8-Mar-19,0%,0,60.45,EUR,Accommodation costs,70087,Accommodation Airbnb 
11-Mar-19,0%,0,14.89,EUR,Public transportation,70001,Public transportation
11-Mar-19,0%,0,7.74,EUR,Public transportation,70001,Public transportation
11-Mar-19,0%,0,31.29,EUR,Public transportation,70001,Public transportation
11-Mar-19,19%,4.15,26,EUR,Public transportation,70088,Travelling costs
11-Mar-19,19%,0.48,2.99,EUR,Packing material,70001,Packing material
11-Mar-19,0%,0,25.8,EUR,Representation costs ,70001,Representation costs
21-Mar-19,19%,854.83,"5,353.93",EUR,Legal costs,70082,Osborne Clark
22-Mar-19,19%,854.83,"5,353.93",EUR,Legalcosts,70082,Osborne Clark
1-Apr-19,0%,0,140,EUR,Other expenses,70035,Other costs
19-Mar-19,0%,0,16.49,EUR,Postage,70049,Postage
1-Apr-19,0%,0,20,EUR,Business tax,70057,Business tax
12-Mar-19,0%,0,7.49,EUR,Postage,70049,Postage
25-Mar-19,0%,0,14,EUR,Air ticket,70001,Car rent 
26-Mar-19,0%,0,3.4,EUR,Public transportation,70001,Public transportation
28-Mar-19,0%,0,3.4,EUR,Public transportation,70001,Public transportation
27-Feb-19,0%,0,206.02,EUR,Air ticket,70001,Travelling costs
27-Feb-19,0%,0,626.36,EUR,Material / Goods,70083,Logistics purchasing
1-Apr-19,19%,13.57,85,EUR,Guild and association contributions,70106,Guild and association contributions Alliance for Rural Electrification
11-Apr-19,0%,0,"4,401.60",EUR,Freelancer,70061,Hacksoft LTD Sofia
17-Apr-19,0%,0,"1,878.29",EUR,Entertainment expenses,70037,Entertainment costs 
17-Apr-19,0%,0,"1,878.29",EUR,Account management / card fee,70037,Account management / card fee 
17-Apr-19,0%,0,"1,878.29",EUR,Air ticket,70037,Car rent
17-Apr-19,19%,24.01,"1,878.29",EUR,Air ticket,70037,Car rent
17-Apr-19,0%,0,"1,878.29",EUR,Accommodation costs,70037,Accommodation Airbnb 
17-Apr-19,0%,0,"1,878.29",EUR,Licenses and concessions,70037,Licenses and concessions
17-Apr-19,19%,3.17,"1,878.29",EUR,Licenses and concessions,70037,Licenses and concessions
17-Apr-19,0%,0,"1,878.29",EUR,Travel MA,70037,Flight costs
10-Apr-19,19%,3.21,20.11,EUR,Licenses and concessions,70037,Licenses and concessions
5-Apr-19,0%,0,14.4,EUR,Public transportation,70103,Public transportation
8-Apr-19,0%,0,4.5,EUR,Public transportation,70103,Public transportation
10-Apr-19,0%,0,"3,180.00",EUR,Freelancer,70062,Freelancer Hostandstore OOD 1Vasil Levski str
15-Apr-19,19%,956.9,"5,993.22",EUR,Material / Goods,70048,Logistics purchasing
10-Apr-19,0%,0,"3,204.00",EUR,Freelancer,70093, Freelancer Mate Szabo  Software Engineering Szabo 
26-Apr-19,0%,0,"2,062.50",EUR,Social security contribution,70096,Social contributions technician Health Insurance
30-Apr-19,0%,0,522.117,EUR,Wages,70098,Wages 
26-Apr-19,0%,0,"1,039.97",EUR,Social security contribution,70097,Social contributions AOK Hessen
2-May-19,0%,0,"1,400.00",EUR,Freelancer,70073, Freelance Tamas Soos Szekszard Freelance programming 
25-Apr-19,0%,0,127.38,EUR,Air ticket,70085,Car rent
25-Apr-19,0%,0,209.94,EUR,Air ticket,70085,Car rent
25-Apr-19,0%,0,358.13,EUR,Air ticket,70085,Cross-account transfer
25-Apr-19,19%,100.13,627.13,EUR,Accounting fees,70043,Accounting fees
8-May-19,19%,13.38,83.78,EUR,Material / Goods,70048,Logistics purchasing
7-May-19,0%,0,"2,970.00",EUR,Freelancer,70061,Hacksoft LTD Sofia
7-May-19,0%,0,"3,132.00",EUR,Freelancer,70093, Freelancer Mate Szabo  Software Engineering Szabo 
20-May-19,0%,0,810.96,EUR,Accommodation costs,70037,Accommodation Airbnb 
20-May-19,19%,22.03,810.96,EUR,Air ticket,70037,car rent
20-May-19,0%,0,810.96,EUR,Air ticket,70037,car rent
20-May-19,0%,0,810.96,EUR,Licenses and concessions,70037,Licenses and concessions
20-May-19,19%,6.33,810.96,EUR,Licenses and concessions,70037,Licenses and concessions
20-May-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,Licenses and concessions
10-May-19,19%,42.14,263.91,EUR,Purchases,70105,Acquisitions Amazon EU S.‡ r.l
7-May-19,19%,42.14,263.91,EUR,Purchases,70105,Acquisitions Amazon EU S.‡ r.l
7-May-19,19%,51.08,319.9,EUR,Purchases,70105,Acquisitions Amazon EU S.‡ r.l
31-May-19,0%,0,833,EUR,Commercial Lines,70095,Company insurance Vorsorge-Konzept GmbH
9-May-19,0%,0,"2,400.00",EUR,Freelancer,70091,Freelancer Herr Benjamin Munyoki 
8-May-19,19%,10.54,66,EUR,Office supplies,70099,Office supplies-Media Markt TV-Hifi-Elektro GmbH
7-May-19,19%,87.02,545.02,EUR,Marketing,70102,Newprint blue GmbH
8-May-19,19%,7.18,45,EUR,Marketing,70101,iStock Getty Images
8-May-19,0%,0,45,EUR,Marketing,70101,iStock Getty Images
8-May-19,19%,27.53,172.43,EUR,Fair costs,70100,Fair costs Messe Munchen GmBH
13-May-19,19%,2.84,17.8,EUR,Attentions,70001,Attentions
7-May-19,0%,0,"3,000.00",EUR,Freelancer,70092, Freelancer Xlogic IT programming services  
31-May-19,0%,0,"2,980.00",EUR,Freelancer,70062,Freelancer Hostandstore OOD 1Vasil Levski str
16-May-19,0%,0,2.8,EUR,Public transportation,70001,Public transportation
20-May-19,19%,11.74,105,EUR,Entertainment expenses,70001,Catering costs 
20-May-19,19%,5.03,105,EUR,Entertainment expenses,70001,Catering costs 
28-May-19,19%,76.19,477.19,EUR,Legal costs,70094,Attorney Dentons Europe
28-May-19,19%,253.18,"1,585.00",EUR,Legal costs,70094,Attorney Dentons Europe
28-May-19,0%,0,"2,062.50",EUR,Social security contribution,70096,Social contributions technician Health Insurance
28-May-19,0%,0,"1,039.97",EUR,Social security contribution,70097,Social contributions technician health insurance
28-May-19,0%,0,522.117,EUR,Wages,70001,Wages 
17-May-19,19%,8.38,75,EUR,Entertainment expenses,70001,Catering costs
17-May-19,19%,3.59,75,EUR,Entertainment expenses,70001,Catering costs
23-May-19,0%,0,9,EUR,Postage,70049,Postage 
28-May-19,0%,0,980,EUR,Freelancer,70073, Freelance Tamas Soos Szekszard Freelance programming 
12-Jun-19,0%,0,"6,300.00",EUR,Freelancer,70061,Hacksoft LTD Sofia
11-Jun-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,Licenses and concessions
12-Jun-19,0%,0,"2,400.00",EUR,Freelancer,70091,Freelancer Herr Benjamin Munyoki 
11-Jun-19,0%,0,"3,282.00",EUR,Freelancer,70092, Freelancer Xlogic IT programming services  
12-Jun-19,0%,0,3.7,EUR,Postage,70090,Postage
14-Jun-19,0%,0,68.99,EUR,Postage,70001,Postage
11-Jun-19,0%,0,"3,716.00",EUR,Freelancer,70093, Freelancer Mate Szabo  Software Engineering Szabo 
1-Jul-19,19%,628.03,"3,933.43",EUR,Other expenses,70107,Other costs
18-Jun-19,0%,0,30.99,EUR,Postage,70001,Postage
