timestamp_utc,device_id,repair_cost,repair_cost_currency,repair_performer_id
5/1/2020 7:59,K5WU7Z4OINET,1,EUR,5019
5/1/2020 17:47,ALCIBPQRP2CE,2,EUR,5031
6/1/2020 11:39,FYCKZPKRW3N0,4,EUR,5028
6/1/2020 18:48,SGGD9W87ROWZ,5,EUR,5031
6/1/2020 19:16,Q1UJYS9IZZGT,6,EUR,5019
7/1/2020 17:45,MHT2SEUQ74LV,1,EUR,5003
7/1/2020 18:26,P3BBYEPTWBB7,7,EUR,5014
8/1/2020 10:28,POE4TQ03H6CO,5,EUR,5015
8/1/2020 21:41,KAX9TF0FPWAI,6,EUR,5001
9/1/2020 7:06,MJOCGA9VNS7V,3,EUR,5008
9/1/2020 12:12,R5LCXLAY8DG7,2,EUR,5014
9/1/2020 16:01,RY1VDWY56KDL,7,EUR,5004
10/1/2020 0:22,BQ2MC02FTRY6,5,EUR,5024
10/1/2020 3:29,6YKVOGH7S872,1,EUR,5021
10/1/2020 18:30,LLO1RRZYYSAQ,12,EUR,5020
10/1/2020 20:04,2Z6CNVCDWP7W,4,EUR,5007
10/1/2020 22:46,VLC4BHGQF8SZ,3,EUR,5017
11/1/2020 7:29,6FMG28YHOWYU,6,EUR,5017
11/1/2020 18:32,ETZDDUABQQHB,4,EUR,5021
12/1/2020 0:09,O2ZKG2QGGUWT,7,EUR,5027
12/1/2020 11:13,GKQNZZ720MJ5,7,CHF,5028
12/1/2020 12:13,HS5GAFLCB8U7,4,EUR,5014
12/1/2020 17:04,HSZ29413JFCT,2,EUR,5006
12/1/2020 18:35,ZRTZ5O2RMPE2,3,EUR,5004
12/1/2020 21:14,QL75L764FL8T,7,EUR,5018
13/01/2020 10:37:05,FE59YDLJUZJU,3,EUR,5028
13/01/2020 11:58:23,SO92W44RUTX5,2,EUR,5001
13/01/2020 13:41:28,6EM2OFAK5ZZP,1,CHF,5024
13/01/2020 14:12:38,3L92N2DNESBF,7,EUR,5014
13/01/2020 15:45:07,3KF9MRWSX332,3,EUR,5028
13/01/2020 19:37:23,4PZSZ3EIM9Z0,7,EUR,5008
