Economic activity,Year, Values
Scientific research and development,2008,13.32
Scientific research and development,2009,14.15
Scientific research and development,2010,14.43
Scientific research and development,2011,14.93
Scientific research and development,2012,15.57
Scientific research and development,2013,16.39
Scientific research and development,2014,17.46
Scientific research and development,2015,18.5
Scientific research and development,2016,20.2
Scientific research and development,2017,23.49
Scientific research and development,2018,26.86
Scientific research and development,2019,29.84
Scientific research and development,2008,18.91
Scientific research and development,2009,20.43
Scientific research and development,2010,21.04
Scientific research and development,2011,22.46
Scientific research and development,2012,24.03
Scientific research and development,2013,25.14
Scientific research and development,2014,26.63
Scientific research and development,2015,28.93
Scientific research and development,2016,31.35
Scientific research and development,2017,35.26
Scientific research and development,2018,39.6
Scientific research and development,2019,43.35
