,Date,Turnover_euro,Price_euro,Year,Month,Day
0,2019-01-01,921407.0,0.518,2019.0,1.0,1.0
1,2019-01-02,3221195.0,0.515,2019.0,1.0,2.0
2,2019-01-03,1419565.0,0.514,2019.0,1.0,3.0
3,2019-01-04,723713.0,0.518,2019.0,1.0,4.0
4,2019-01-05,2332809.0,0.518,2019.0,1.0,5.0
5,2019-01-06,4617409.0,0.532,2019.0,1.0,6.0
6,2019-01-07,5120459.0,0.541,2019.0,1.0,7.0
7,2019-01-08,780626.0,0.5429999999999999,2019.0,1.0,8.0
8,2019-01-09,2480371.0,0.541,2019.0,1.0,9.0
9,2019-01-10,4177583.0,0.544,2019.0,1.0,10.0
10,2019-01-11,680426.0,0.5479999999999999,2019.0,1.0,11.0
11,2019-01-12,1156163.0,0.5479999999999999,2019.0,1.0,12.0
12,2019-01-13,12954131.0,0.5670000000000001,2019.0,1.0,13.0
13,2019-01-14,1309644.0,0.5670000000000001,2019.0,1.0,14.0
14,2019-01-15,18043133.0,0.563,2019.0,1.0,15.0
15,2019-01-16,788004.0,0.563,2019.0,1.0,16.0
16,2019-01-17,545090.0,0.565,2019.0,1.0,17.0
17,2019-01-18,4539111.0,0.561,2019.0,1.0,18.0
18,2019-01-19,7990588.0,0.569,2019.0,1.0,19.0
19,2019-01-20,2935321.0,0.5589999999999999,2019.0,1.0,20.0
20,2019-02-01,725396.0,0.546,2019.0,2.0,1.0
21,2019-02-02,2050565.0,0.537,2019.0,2.0,2.0
22,2019-02-03,4579555.0,0.52,2019.0,2.0,3.0
23,2019-02-04,1465133.0,0.532,2019.0,2.0,4.0
24,2019-02-05,239700.0,0.534,2019.0,2.0,5.0
25,2019-02-06,1258520.0,0.524,2019.0,2.0,6.0
26,2019-02-07,988015.0,0.535,2019.0,2.0,7.0
27,2019-02-08,584694.0,0.541,2019.0,2.0,8.0
28,2019-02-09,1463724.0,0.5429999999999999,2019.0,2.0,9.0
29,2019-02-10,3927333.0,0.537,2019.0,2.0,10.0
30,2019-02-11,3138149.0,0.55,2019.0,2.0,11.0
31,2019-02-12,1345333.0,0.552,2019.0,2.0,12.0
32,2019-02-13,1339818.0,0.556,2019.0,2.0,13.0
33,2019-02-14,499508.0,0.5529999999999999,2019.0,2.0,14.0
34,2019-02-15,650951.0,0.552,2019.0,2.0,15.0
35,2019-02-16,411929.0,0.556,2019.0,2.0,16.0
36,2019-02-17,2083278.0,0.5579999999999999,2019.0,2.0,17.0
37,2019-02-18,6683886.0,0.565,2019.0,2.0,18.0
38,2019-02-19,4786172.0,0.57,2019.0,2.0,19.0
39,2019-02-20,2377807.0,0.579,2019.0,2.0,20.0
40,2019-03-01,1619108.0,0.5760000000000001,2019.0,3.0,1.0
41,2019-03-02,1137766.0,0.5760000000000001,2019.0,3.0,2.0
42,2019-03-03,3376458.0,0.584,2019.0,3.0,3.0
43,2019-03-04,1211497.0,0.58,2019.0,3.0,4.0
44,2019-03-05,901091.0,0.5820000000000001,2019.0,3.0,5.0
45,2019-03-06,1644815.0,0.586,2019.0,3.0,6.0
46,2019-03-07,1820479.0,0.598,2019.0,3.0,7.0
47,2019-03-08,1393158.0,0.6,2019.0,3.0,8.0
48,2019-03-09,1278305.0,0.603,2019.0,3.0,9.0
49,2019-03-10,3744402.0,0.618,2019.0,3.0,10.0
50,2019-03-11,9920630.0,0.643,2019.0,3.0,11.0
51,2019-03-12,1902734.0,0.636,2019.0,3.0,12.0
52,2019-03-13,3598779.0,0.636,2019.0,3.0,13.0
53,2019-03-14,2342246.0,0.632,2019.0,3.0,14.0
54,2019-03-15,3887517.0,0.629,2019.0,3.0,15.0
55,2019-03-16,2954981.0,0.618,2019.0,3.0,16.0
56,2019-03-17,882206.0,0.626,2019.0,3.0,17.0
57,2019-03-18,2279561.0,0.63,2019.0,3.0,18.0
58,2019-03-19,2983546.0,0.622,2019.0,3.0,19.0
59,2019-03-20,569694.0,0.624,2019.0,3.0,20.0
60,2019-03-21,59436.0,0.623,2019.0,3.0,21.0
61,2019-03-22,90703.0,0.623,2019.0,3.0,22.0
62,2019-03-23,1869613.0,0.622,2019.0,3.0,23.0
63,2019-04-01,1395949.0,0.623,2019.0,4.0,1.0
64,2019-04-02,3352853.0,0.631,2019.0,4.0,2.0
65,2019-04-03,7106449.0,0.63,2019.0,4.0,3.0
66,2019-04-04,865538.0,0.629,2019.0,4.0,4.0
67,2019-04-05,759562.0,0.624,2019.0,4.0,5.0
68,2019-04-06,1591307.0,0.624,2019.0,4.0,6.0
69,2019-04-07,185152.0,0.624,2019.0,4.0,7.0
70,2019-04-08,1117872.0,0.625,2019.0,4.0,8.0
71,2019-04-09,1850867.0,0.625,2019.0,4.0,9.0
72,2019-04-10,262339.0,0.626,2019.0,4.0,10.0
73,2019-04-11,289209.0,0.628,2019.0,4.0,11.0
74,2019-04-12,2063724.0,0.635,2019.0,4.0,12.0
75,2019-04-13,1389600.0,0.636,2019.0,4.0,13.0
76,2019-04-14,4953418.0,0.648,2019.0,4.0,14.0
77,2019-04-15,3845832.0,0.643,2019.0,4.0,15.0
78,2019-04-16,1252992.0,0.619,2019.0,4.0,16.0
79,2019-04-17,1274259.0,0.615,2019.0,4.0,17.0
80,2019-04-18,1759667.0,0.606,2019.0,4.0,18.0
81,2019-04-19,593804.0,0.613,2019.0,4.0,19.0
82,2019-05-01,1223823.0,0.621,2019.0,5.0,1.0
83,2019-05-02,2177428.0,0.629,2019.0,5.0,2.0
84,2019-05-03,1128934.0,0.63,2019.0,5.0,3.0
85,2019-05-04,399702.0,0.623,2019.0,5.0,4.0
86,2019-05-05,2881782.0,0.622,2019.0,5.0,5.0
87,2019-05-06,305082.0,0.621,2019.0,5.0,6.0
88,2019-05-07,1518683.0,0.611,2019.0,5.0,7.0
89,2019-05-08,2909365.0,0.596,2019.0,5.0,8.0
90,2019-05-09,2174008.0,0.589,2019.0,5.0,9.0
91,2019-05-10,2083481.0,0.5670000000000001,2019.0,5.0,10.0
92,2019-05-11,1730686.0,0.5770000000000001,2019.0,5.0,11.0
