Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011.0,2012.00,2013.0,2014.0,2015.0,2016.0,2017.0,2018.00,2019,2020
Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.763909817,4.395540237,4.714680195,4.739860058,4.923649788,0,4.408480167,4.68132019,0,4.815040112,4.999229908,5.924789906,6.929269791,6.1,6.55,6.5,5.9,6.0,5.5,0.0,0.00,0.0,
Afghanistan,AFG,,1.16,1.12,1.43,,1.30,,,,1.74,1.84,1.91,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.479,3.5,2.60,3.5,3.7,3.3,4.2,4.1,,,
Angola,AGO,,,,,,,,,,,,,,,,4.09,5.72,5.06,,,,,,,,,,,2.567120075,,2.607530117,,,,,2.12,2.28,,,,3.421,,,,,,,,,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,3.44698,3.814640045,3.083509922,3.37947011,3.536979914,3.592930079,3.430170059,3.458699942,3.117799997,3.138240099,3.2,3.3,3.2,3.3,,,,,,3.5,,3.4,4.0,3.6,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.713279963,,,,,1.65971005,,1.5,1.6,2.2,2.1,2.9,3.1,3.0,3.0,,2.5,3.1,3.3,3.2,3.2,3.25,3.15,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,4.34,,,,,,,,,,,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,1.458089948,,1.936200023,1.780519962,1.923519969,1.843600035,1.165639997,1.71984005,1.935549974,2.400279999,2.607150078,,1.597869992,1.617499948,2.56972003,1.361860037,1.26154995,1.282299995,,1.046120048,1.067379951,,,,,,3.731980085,,4.039869785,4.521679878,4.580309868,4.833740234,4.017340183,3.535049915,3.49,3.86,4.13,4.46,4.84,5.53,5.02,5.3,5.35,5.4,5.4,5.8,5.5,5.5,,,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848430037,,,2.235189915,2.772730112,2.469439983,2.135040045,2.145040035,2.49,2.71,2.72,3.02,3.17,3.84,3.25,3.1,2.77,2.7,2.2,2.8,2.8,2.7,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.753969908,,,3.394279957,,,,,,,2.52,,,,,,,,,,,
Australia,AUS,,,,,,,,,6.008910179,5.896930218,5.654079914,,5.479750156,5.372010231,,5.40542984,5.280630112,5.06994009,4.918310165,4.749139786,4.676340103,4.794789791,4.692409992,5.516520023,5.254740238,5.143909931,5.240970135,,,,4.891469955,,,,,4.91,4.8,4.66,4.64,5.09,5.55,5.1,4.87,5.2,5.2,5.3,5.3,5.1,,,
Austria,AUT,4.147160053,4.282350063,4.450150013,4.515470028,4.655940056,5.127960205,5.237659931,4.95401001,5.159790039,5.038159847,5.008969784,5.367809772,5.362989902,5.303780079,5.294469833,5.297210217,5.499959946,5.376110077,5.190730095,5.01816988,4.957250118,5.103219986,5.296979904,5.251999855,,5.428349972,5.259900093,,6.103740215,6.112339973,5.588809967,5.575479984,5.522130013,5.361830235,5.30,5.25,5.2,5.15,5.26,5.73,5.70,5.6,5.48,5.5,5.4,5.5,5.5,5.4,,,
Azerbaijan,AZE,0,0,0,0,0,,,,,,,,,,,,,,,,,,6.057970047,,,3.337369919,3.512569904,,3.380019903,4.212140083,3.853990078,3.503420115,3.154459953,3.286149979,3.45,2.97,2.6,2.55,2.44,3.22,2.78,2.4,2.07,2.4,2.6,3.0,2.9,2.5,2.46,,
Burundi,BDI,0,0,0,0,0,,,,,2.803359985,,3.346760035,,,,,,,,,3.359329939,3.493659973,3.805850029,,4.565269947,5.015110016,4.083240032,,,3.417449951,2.645479918,2.903909922,3.004930019,,3.74,3.63,,,5.19,6.17,6.78,6.3,6.17,6.0,6.8,6.4,4.7,4.8,5.08,,
Belgium,BEL,0,0,0,0,0,5.762819767,5.731040001,5.98883009,5.436339855,5.380350113,5.310639858,5.435319901,5.316730022,,,,4.852290154,4.577129841,4.300720215,,,,,5.372310162,5.411039829,2.988660097,3.049479961,,,,,,,,,5.80,,,6.33,6.46,6.44,6.4,,6.6,6.6,6.5,6.5,6.4,,,
Benin,BEN,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.747889996,1.921939969,2.113660097,2.365099907,2.159490108,2.283159971,2.57,2.66,2.56,2.36,2.78,3.09,3.68,,3.56,3.3,3.2,3.2,2.9,3.5,2.93,,
Burkina Faso,BFA,0,0,0,0,0,,,,1.679829955,,1.961799979,,,1.754480004,,1.763960004,,,1.426079988,,,,,,3.451100111,,1.440260053,,,,,,,,,3.94,3.98,4.08,,,3.50,4.0,3.60,4.1,4.1,3.7,,5.6,5.38,,
Bangladesh,BGD,0,0,0,0,0,,,,,1.130929947,0.937600017,1.071499944,1.011639953,1.032670021,1.223029971,1.271180034,1.343490005,1.513640046,,,1.519119978,1.425660014,1.631770015,1.692620039,,,,1.952469945,,2.132819891,2.125080109,2.171930075,2.017149925,2.069390059,1.94,,2.13,2.20,2.05,1.94,,2.1,2.18,2.0,,,1.5,,,1.33,
Bulgaria,BGR,0,0,0,0,0,,,,,,3.52947998,,,,,,,,,,4.454060078,5.429619789,5.2604599,4.950489998,4.170660019,2.372070074,2.230079889,,2.739429951,,,3.384239912,3.386080027,3.998450041,2.32,4.11,3.90,3.68,4.22,4.28,3.88,3.6,3.49,4.1,,,,4.1,,,
Bahrain,BHR,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,2.58,2.50,,,,2.65,2.5,2.5,2.7,,2.3,,,
"Bahamas, The",BHS,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.232840061,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6.000010014,6.196619987,,,,5.712259769,5.871029854,6.076960087,5.152100086,,4.368939877,5.220039845,4.7,4.96,5.0,4.8,4.8,4.9,4.8,,,
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44343996,5.028429985,5.79708004,,5.24905014,5.33630991,,,,5.772630215,6.178120136,6.719810009,,,6.4,6.6,6.9,7.3,7.5,7.56,,
Bermuda,BMU,,,,4.107900143,,3.434420109,,,,,,,,,,3.034490108,,,,,3.136199951,3.150650024,3.4760499,,,,,,2.152270079,,,,,1.666270018,1.775879979,1.988770008,,,,2.615190029,2.6442101,,,,1.8,1.7,,1.5,,,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,4.568160057,,,4.756659985,3.800620079,3.948930025,3.844680071,3.750370026,,3.974479914,4.4790802,4.870600224,4.974259853,5.268839836,5.463550091,5.648799896,5.7,5.86,5.8,5.9,6.2,6.3,6.3,,,
Barbados,BRB,,,,,,,5.9447999,6.517159939,,,,,,,,,,,,,,6.638700008,,,,,,,,4.341239929,4.71585989,6.055369854,5.880620003,6.245699883,6.024280071,5.669650078,,5.220389843,4.922599792,5.116179943,6.054399967,,5.26,5.1,6.1,,5.0,4.4,,,
Brunei Darussalam,BRN,6.239150047,4.995019913,4.039289951,8.793290138,3.39270997,1.961339951,1.970080018,,2.114239931,1.545519948,1.191079974,1.616780043,1.697149992,,,,,4.737730026,5.409029961,4.69012022,3.959959984,3.668940067,3.747689962,4.29403019,,,,,5.253950119,4.932050228,3.705909967,,,,,,,,,,2.046610117,3.3,2.89,,3.4,,4.4,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.513790131,5.91573,,,6.609069824,7.287149906,,,4.911590099,4.741740227,4.12473011,4.8,,5.7,6.0,7.6,7.0,7.2,6.85,,
Botswana,BWA,,4.387239933,3.906389952,3.262789965,3.674240112,5.649429798,6.063960075,5.40031004,5.952139854,6.141729832,5.46931982,,,5.552269936,5.551660061,5.650720119,5.185929775,6.117730141,6.151110172,,5.739630222,,6.840610027,,,,,,,,,,,,,10.67858982,,8.851490021,,9.632920265,,,,,,,,,,,
Central African Republic,CAF,,,,,,,,,3.170530081,,,,,,,,2.207750082,2.548049927,,,2.244199991,2.276309967,,,,,,,,1.690019965,1.612650037,,1.519569993,1.539800048,1.624529958,1.652220011,1.415060043,1.313320041,1.290009975,1.254580021,1.117609978,1.1,,,,,,,,,
Canada,CAN,,7.710189819,7.615409851,7.037499905,6.689630032,6.442949772,6.720990181,6.733530045,7.097670078,6.714749813,6.484670162,6.43061018,6.519139767,6.880430222,6.644040108,6.212870121,6.04418993,6.32446003,6.176149845,6.098320007,5.991990089,6.884300232,6.770939827,7.704259872,6.680019855,6.324450016,,,5.511970043,5.549940109,5.441999912,4.969560146,5.01072979,,,4.782149792,,4.780360222,4.638259888,4.852640152,5.36992979,5.3,,,,,,,,,
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,5.202790022,4.950489998,4.900255203,4.655275106,4.334750175,,4.95043993,4.583669901,4.868400097,5.077809811,5.179230213,5.074510098,4.861130238,4.813159943,4.71378994,4.590549946,4.83453989,4.958040237,4.761209965,4.6,4.47,4.6,4.6,4.8,4.7,4.1,,,
