Date,Weather,Temperature_Celsius,KwH_Before_App,KwH_After_App,Active_Hours
2020.10.10,good,18,5.51,4.2,5.5
2020.10.02,bad,13,6,5.6,5.6
2020.10.03,good,19.5,4.2,2.9,3.8
2020.10.04,good,17,6,4.6,5
2020.10.05,good,16.5,5.8,6,6.7
2020.10.06,very_bad,10,5.2,4.99,5
2020.10.07,very_bad,10,4,3.9,3
2020.10.08,good,15,7,6.9,6
2020.10.09,very_good,20,4.8,3.79,5.4
2020.10.10,bad,12.4,5.9,4.9,5
2020.10.11,bad,13,6,5.8,4.3
2020.10.12,very_good,19,8,7.7,7
2020.10.13,bad,14.4,5.3,4.4,5
2020.10.14,bad,13,4.12,3.2,4.8
2020.10.15,good,19,3.9,3.1,2
2020.10.16,good,20,3.79,3.2,4
2020.10.17,good,20,3.8,2.9,4.5
2020.10.18,good,19,4.2,2.4,3.9
2020.10.19,very_good,22,4.8,2.6,5
2020.10.20,very_good,22,4.2,3.9,6
2020.10.21,bad,15,6.2,5.3,6
2020.10.22,bad,13,5.1,3.8,4
2020.10.23,bad,10,5.5,4.99,5
2020.10.24,very_bad,8.5,6.8,5.3,5
2020.10.25,very_bad,9,7,6.3,7
2020.10.26,very_bad,10,7.6,7,7
2020.10.27,good,13,5.9,6,6
2020.10.28,good,16,6,5.5,6
2020.10.29,good,18,6.3,5.2,6
2020.10.30,very_bad,8,7.2,6,5
