FREQ;GEO;UNIT;LMP_TYPE;EXPTYPE\TIME_PERIOD,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 
A;AT;MIO_EUR;8;XTOT,: ,2574.998 ,2510.051 ,2332.077 ,2373.378 ,2419.130 ,2525.739 ,2596.785 ,3018.833 ,2941.492 ,2772.499 ,2717.127 ,3593.937 ,3518.452 ,3382.730 ,3556.922 ,4010.346 ,4325.784 ,4663.407 ,4841.344 ,4666.856 ,4434.421 
A;AT;MIO_EUR;9;XTOT,: ,124.170 ,116.396 ,133.833 ,177.894 ,336.846 ,572.539 ,740.288 ,676.010 ,651.122 ,607.091 ,554.439 ,506.247 ,498.415 ,465.747 ,402.317 ,513.362 ,311.472 ,394.135 ,496.269 ,557.878 ,646.682 
A;AT;MIO_EUR;TOT8_9;XTOT,: ,2699.167 ,2626.447 ,2465.910 ,2551.271 ,2755.976 ,3098.278 ,3337.073 ,3694.843 ,3592.614 ,3379.591 ,3271.566 ,4100.184 ,4016.867 ,3848.477 ,3959.239 ,4523.707 ,4637.256 ,5057.543 ,5337.613 ,5224.734 ,5081.102 
A;BE;MIO_EUR;8;XTOT,: ,3368.673 ,3250.860 ,2895.439 ,3051.672 ,3642.453 ,4178.400 ,4404.068 ,4591.602 ,4495.061 ,4251.023 ,4359.949 ,5511.375 ,5440.881 ,5117.583 ,5361.429 ,5685.469 ,5484.668 ,4934.241 ,4728.825 ,4556.102 ,4373.094 
A;BE;MIO_EUR;9;XTOT,: ,2319.165 ,2377.286 ,2429.141 ,2504.306 ,2593.807 ,2592.016 ,2575.042 ,2518.926 ,2486.813 ,2485.762 ,2559.641 ,2577.996 ,2616.447 ,2623.723 ,2571.514 ,2492.595 ,2283.106 ,2094.963 ,1951.902 ,1565.849 ,1271.217 
A;BE;MIO_EUR;TOT8_9;XTOT,: ,5687.838 ,5628.146 ,5324.580 ,5555.978 ,6236.260 ,6770.415 ,6979.110 ,7110.528 ,6981.874 ,6736.785 ,6919.590 ,8089.371 ,8057.329 ,7741.306 ,7932.943 ,8178.064 ,7767.773 ,7029.204 ,6680.727 ,6121.951 ,5644.311 
A;BG;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,: ,51.814 ,46.663 ,45.964 ,44.300 ,53.179 ,133.966 ,162.421 ,162.612 ,182.746 ,183.048 ,175.459 ,179.674 ,205.118 ,209.239 ,225.559 
A;BG;MIO_EUR;9;XTOT,: ,: ,: ,: ,: ,: ,: ,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z,: z
A;BG;MIO_EUR;TOT8_9;XTOT,: ,: ,: ,: ,: ,: ,: ,51.814 ,46.663 ,45.964 ,44.300 ,53.179 ,133.966 ,162.421 ,162.612 ,182.746 ,183.048 ,175.459 ,179.674 ,205.118 ,209.239 ,225.559 
A;CY;MIO_EUR;8;XTOT,: ,: ,: ,: ,: ,: ,: ,: ,: ,96.390 ,74.489 ,69.700 ,114.000 ,120.100 ,168.700 ,203.200 ,247.588 ,158.524 ,141.070 ,111.717 ,95.664 ,87.722 p
