,Marketing_Channel,Actual_Revenue,Date,Year,Month,Day
0,Social media,500,1/1/2021,2021,January,1
1,search engine marketing,1000,1/1/2021,2021,January,1
2,crm,2000,1/1/2021,2021,January,1
3,affiliate,600,1/1/2021,2021,January,1
4,Influencer Marketing,200,1/1/2021,2021,January,1
5,Social media,1000,2/2/2021,2021,February,2
6,search engine marketing,2500,2/3/2021,2021,February,3
7,crm,2000,2/4/2021,2021,February,4
8,affiliate,1000,2/5/2021,2021,February,5
9,Influencer Marketing,2000,2/6/2021,2021,February,6
