company,Job,Job_seniority,Domain,interview_call,region
Voi,Policy analyst,Normal,policy,2,Berlin
Google,Gov affairs junior,Normal,policy,3,Berlin
Outfittery,Data analyst,Normal,data,1,Berlin
Outfittery,Data Insights,Normal,data,1,Berlin
Contentful,Data analyst,Normal,data,3,Berlin
Contentful,Senior Business Analyst,Senior,data,2,Berlin
Insuretech,Data analyst,Normal,data,1,Berlin
powercloud,Business Intelligence,Normal,data,2,Berlin
Big Cloud,Business Intelligence,Normal,data,2,Berlin
Koro,Intern_entrepreneurship_dev,Intern,business development,3,Berlin
Bridge_maker,Junior venture capital,Junior,business development,1,Berlin
Everphone,Business Intelligence,Normal,data intelligence,1,Berlin
N26,Intern opps manager,Intern,operations business,1,Berlin
Accenture,Trainee business_analyst,Trainee,data,3,Berlin
Accenture,Trainee business_analyst,Trainee,data,2,Brussels
Meltwater,Sales trainee,Trainee,sales,3,Berlin
Austin Fraser,Intern Trainee,Intern,operations business,3,Berlin
Tourlane,Junior Data visualization ,Intern,visualization,2,Berlin
EIB,Intern data analyst,Intern,data,2,Brussels
BGFI,Business Intelligence,Normal,data intelligence,1,Brussels
ESG,Data analyst,Normal,data,2,Berlin
Hertie GOV,Policy analyst,Normal,policy,1,Berlin
Delloite,Intern management,Intern,operations business,2,Brussels
PwC,Intern audit,Intern,audit,3,Bucharest
Wayfair,Graduate data analysis ,Graduate,data,3,Berlin
Wayfair,Graduate business Intelligence,Graduate,data intelligence,3,Berlin
Airbnb,Graduate policy analyst,Graduate,policy,2,Berlin
Cognizant,Data analyst,Normal,data,2,Berlin
Vantik,Intern entrerpeneur residence,Intern,data,3,Berlin
Hello Fresh,Data analyst,Normal,data,2,Berlin
Hello fresh,Junior business intelligence,Junior,data intelligence,1,Berlin
hello fresh,Strategic operations intern,Intern,operations business,2,Berlin
ISS,Corporate governance research,Normal,policy,3,Berlin
APCO,Intern Public Affairs,Intern,policy,3,Berlin
Accenture,Intelligent Cloud Infrastructure,Graduate,data,2,Berlin
efinancial,Data analyst,Normal,data,3,Berlin
BKK,Data analyst,Normal,data,3,Berlin
Audible,Data analyst,Normal,data,2,Berlin
Wayfair,Business strategist,Normal,business strategy,3,Berlin
zalando,Data analyst,Normal,data,3,Berlin
Marsh,Graduate Scheme,Graduate,operations business,3,Brussels
Microsoft,Graduate Opps,Graduate,operations business,3,Berlin
Accenture,young graduate,Graduate,business analysis,2,Brussels
Open Society foundations,policy_analyst,Normal,policy,3,Brussels
Graduate EIB,Graduate analyst,Graduate,economic policy,2,Brussels
NERA,Executive assistant,Normal,operations business,3,Berlin
Brown brothers,Intern opportunities,Intern,data,3,Luxembourg
Cognizant,Tableau data analyst,Normal,data intelligence,1,Luxembourg
Wayfair,Community experience intenrship,Intern,business strategy,3,Berlin
Amazon,Policy analyst,Normal,policy,3,Berlin
Quintet,Business Intelligence Analyst,Normal,data intelligence,3,Brussels
Growth Tribe,Data analyst graduata,Graduate,data,2,Amsterdam
Growth Tribe,Manageent graduate ,Graduate,business strategy,3,Amsterdam
Cognizant,Junior business analyst,Junior,business analysis,2,Brussels
Jam city,Data analyst,Normal,data,3,Berlin
delivery hero,Junior data analyst,Junior,data,2,Berlin
