Months,n,Leak start,Leak end,Leak duration (days),Leak size (l),cost_of_cubic,Leak flow (l/h),Leak flow cost (€/h),Leak cost (€),Leak yearly cost (€),Leak fixed,Building
2021-02,0,2/14/2021 11:07,2/19/2021 21:56,5,5659.5,5,43,0.215,28.2975,1883,TRUE,Ecole 1
2021-05,1,5/7/2021 14:33,5/10/2021 7:27,2,12735.4,5,196,0.98,63.67700195,8585,TRUE,Ecole 1
2021-05,2,3/2/2021 8:29,5/31/2021 23:56,90,674219.9,5,310,1.55,3371.099375,13578,FALSE,Atelier 2
2021-03,3,3/21/2021 18:44,3/22/2021 15:14,0,48.7,5,2,0.01,0.243500004,88,TRUE,Ecole 2
2021-03,4,3/30/2021 21:03,3/31/2021 22:15,1,70.6,5,3,0.015,0.352999992,131,TRUE,Ecole 2
2021-05,5,5/5/2021 17:51,5/7/2021 4:27,1,108,5,3,0.015,0.54,131,TRUE,Ecole 2
2021-05,6,5/24/2021 11:18,5/27/2021 5:24,2,199.2,5,3,0.015,0.995999985,131,TRUE,Ecole 2
2021-05,7,5/30/2021 22:01,5/31/2021 23:57,1,78.1,5,3,0.015,0.390499992,131,FALSE,Ecole 2
2021-05,8,1/29/2021 10:36,5/1/2021 1:39,91,244689.4,5,111,0.555,1223.447031,4862,TRUE,Atelier 1
2021-05,9,5/12/2021 1:11,5/15/2021 21:18,3,8250.9,5,90,0.45,41.25450195,3942,TRUE,Atelier 1
2021-05,10,5/17/2021 22:48,5/20/2021 2:18,2,4297.3,5,83,0.415,21.48649902,3635,TRUE,Atelier 1
2021-05,11,5/26/2021 0:55,5/31/2021 23:56,5,11987.3,5,84,0.42,59.93649902,3679,FALSE,Atelier 1
2021-01,12,1/28/2021 10:49,1/30/2021 12:02,2,210.1,5,4,0.02,1.050500031,175,TRUE,Ecole 3
2021-02,13,1/31/2021 19:39,2/1/2021 23:21,1,79,5,3,0.015,0.395,131,TRUE,Ecole 3
2021-03,14,3/13/2021 10:22,3/15/2021 21:10,2,278,5,5,0.025,1.39,219,TRUE,Ecole 3
2021-03,15,3/2/2021 12:12,3/3/2021 9:19,0,4,5,0,0,0.02,0,TRUE,Ecole 4
2021-05,16,5/31/2021 4:50,5/31/2021 23:56,0,1308,5,68,0.34,6.54,2978,FALSE,Public buidling 1
2021-02,17,2/6/2021 3:45,2/10/2021 2:51,3,12352.7,5,130,0.65,61.76350098,5694,TRUE,Hall Sportif 1
2021-03,18,2/16/2021 3:10,3/2/2021 2:49,13,25732.6,5,77,0.385,128.662998,3373,TRUE,Hall Sportif 1
2021-03,19,3/4/2021 2:01,3/7/2021 0:38,2,5684.4,5,81,0.405,28.42199951,3548,TRUE,Hall Sportif 1
2021-03,20,3/12/2021 1:57,3/22/2021 3:11,10,17715.9,5,73,0.365,88.57950195,3197,TRUE,Hall Sportif 1
2021-04,21,3/27/2021 0:06,4/19/2021 23:28,23,46685.8,5,81,0.405,233.4290039,3548,TRUE,Hall Sportif 1
2021-05,22,4/23/2021 0:10,5/7/2021 3:37,14,27438.7,5,81,0.405,137.1934961,3548,TRUE,Hall Sportif 1
2021-05,23,5/9/2021 1:01,5/31/2021 23:59,22,45782.1,5,83,0.415,228.9105078,3635,FALSE,Hall Sportif 1
2021-03,24,3/4/2021 4:23,3/6/2021 2:06,1,375.9,5,8,0.04,1.879499969,350,TRUE,Service travaux
2021-03,25,3/7/2021 15:24,3/12/2021 1:49,4,3314.7,5,31,0.155,16.57349976,1358,TRUE,Service travaux
2021-03,26,3/16/2021 0:01,3/19/2021 16:45,3,543.5,5,6,0.03,2.7175,263,TRUE,Service travaux
2021-03,27,3/22/2021 16:44,3/23/2021 14:20,0,55.6,5,3,0.015,0.277999992,131,TRUE,Service travaux
2021-04,28,4/9/2021 7:24,4/10/2021 13:24,1,198.2,5,7,0.035,0.990999985,307,TRUE,Service travaux
2021-04,29,4/11/2021 15:48,4/12/2021 13:54,0,57.9,5,3,0.015,0.289500008,131,TRUE,Service travaux
2021-04,30,4/16/2021 0:30,4/22/2021 12:20,6,1818.4,5,12,0.06,9.092000122,526,TRUE,Service travaux
2021-04,31,4/25/2021 23:08,4/28/2021 8:56,2,13603.4,5,235,1.175,68.01700195,10293,TRUE,Service travaux
2021-05,32,4/29/2021 20:15,5/1/2021 15:39,1,142,5,3,0.015,0.71,131,TRUE,Service travaux
2021-05,33,5/5/2021 13:16,5/6/2021 14:04,1,117.1,5,5,0.025,0.585499992,219,TRUE,Service travaux
2021-05,34,5/31/2021 3:26,5/31/2021 23:56,0,168.7,5,8,0.04,0.843499985,350,FALSE,Service travaux
