Year_dates,Month_dates,ni,Leak_duration(days),Leak_size_l,cost_of_cubic,Leak_flow_euro_h,Leak_flow_cost_euro,Leak_cost_euro,Leak_yearly_cost_euro,Leak_fixed,Building,Year_start,Month_start,Day_start,Hour_start,Minute_start,Year_end,Month_end,Day_end,Hour_end,Minute_end
2021,2,0,5,5659.5,5,43,0.215,28.2975,1883,TRUE,Ecole 1,2021,2,14,11,7,2021,2,19,21,56
2021,5,1,2,12735.4,5,196,0.98,63.67700195,8585,TRUE,Ecole 1,2021,5,7,14,33,2021,5,10,7,27
2021,5,2,90,674219.9,5,310,1.55,3371.099375,13578,FALSE,Atelier 2,2021,3,2,8,29,2021,5,31,23,56
2021,3,3,0,48.7,5,2,0.01,0.243500004,88,TRUE,Ecole 2,2021,3,21,18,44,2021,3,22,15,14
2021,3,4,1,70.6,5,3,0.015,0.352999992,131,TRUE,Ecole 2,2021,3,30,21,3,2021,3,31,22,15
2021,5,5,1,108,5,3,0.015,0.54,131,TRUE,Ecole 2,2021,5,5,17,51,2021,5,7,4,27
2021,5,6,2,199.2,5,3,0.015,0.995999985,131,TRUE,Ecole 2,2021,5,24,11,18,2021,5,27,5,24
2021,5,7,1,78.1,5,3,0.015,0.390499992,131,FALSE,Ecole 2,2021,5,30,22,1,2021,5,31,23,57
2021,5,8,91,244689.4,5,111,0.555,1223.447031,4862,TRUE,Atelier 1,2021,1,29,10,36,2021,5,1,1,39
2021,5,9,3,8250.9,5,90,0.45,41.25450195,3942,TRUE,Atelier 1,2021,5,12,1,11,2021,5,15,21,18
2021,5,10,2,4297.3,5,83,0.415,21.48649902,3635,TRUE,Atelier 1,2021,5,17,22,48,2021,5,20,2,18
2021,5,11,5,11987.3,5,84,0.42,59.93649902,3679,FALSE,Atelier 1,2021,5,26,0,55,2021,5,31,23,56
2021,1,12,2,210.1,5,4,0.02,1.050500031,175,TRUE,Ecole 3,2021,1,28,10,49,2021,1,30,12,2
2021,2,13,1,79,5,3,0.015,0.395,131,TRUE,Ecole 3,2021,1,31,19,39,2021,2,1,23,21
2021,3,14,2,278,5,5,0.025,1.39,219,TRUE,Ecole 3,2021,3,13,10,22,2021,3,15,21,10
2021,3,15,0,4,5,0,0,0.02,0,TRUE,Ecole 4,2021,3,2,12,12,2021,3,3,9,19
2021,5,16,0,1308,5,68,0.34,6.54,2978,FALSE,Public buidling 1,2021,5,31,4,50,2021,5,31,23,56
2021,2,17,3,12352.7,5,130,0.65,61.76350098,5694,TRUE,Hall Sportif 1,2021,2,6,3,45,2021,2,10,2,51
2021,3,18,13,25732.6,5,77,0.385,128.662998,3373,TRUE,Hall Sportif 1,2021,2,16,3,10,2021,3,2,2,49
2021,3,19,2,5684.4,5,81,0.405,28.42199951,3548,TRUE,Hall Sportif 1,2021,3,4,2,1,2021,3,7,0,38
2021,3,20,10,17715.9,5,73,0.365,88.57950195,3197,TRUE,Hall Sportif 1,2021,3,12,1,57,2021,3,22,3,11
2021,4,21,23,46685.8,5,81,0.405,233.4290039,3548,TRUE,Hall Sportif 1,2021,3,27,0,6,2021,4,19,23,28
2021,5,22,14,27438.7,5,81,0.405,137.1934961,3548,TRUE,Hall Sportif 1,2021,4,23,0,10,2021,5,7,3,37
2021,5,23,22,45782.1,5,83,0.415,228.9105078,3635,FALSE,Hall Sportif 1,2021,5,9,1,1,2021,5,31,23,59
2021,3,24,1,375.9,5,8,0.04,1.879499969,350,TRUE,Service travaux,2021,3,4,4,23,2021,3,6,2,6
2021,3,25,4,3314.7,5,31,0.155,16.57349976,1358,TRUE,Service travaux,2021,3,7,15,24,2021,3,12,1,49
2021,3,26,3,543.5,5,6,0.03,2.7175,263,TRUE,Service travaux,2021,3,16,0,1,2021,3,19,16,45
2021,3,27,0,55.6,5,3,0.015,0.277999992,131,TRUE,Service travaux,2021,3,22,16,44,2021,3,23,14,20
2021,4,28,1,198.2,5,7,0.035,0.990999985,307,TRUE,Service travaux,2021,4,9,7,24,2021,4,10,13,24
2021,4,29,0,57.9,5,3,0.015,0.289500008,131,TRUE,Service travaux,2021,4,11,15,48,2021,4,12,13,54
2021,4,30,6,1818.4,5,12,0.06,9.092000122,526,TRUE,Service travaux,2021,4,16,0,30,2021,4,22,12,20
2021,4,31,2,13603.4,5,235,1.175,68.01700195,10293,TRUE,Service travaux,2021,4,25,23,8,2021,4,28,8,56
2021,5,32,1,142,5,3,0.015,0.71,131,TRUE,Service travaux,2021,4,29,20,15,2021,5,1,15,39
2021,5,33,1,117.1,5,5,0.025,0.585499992,219,TRUE,Service travaux,2021,5,5,13,16,2021,5,6,14,4
2021,5,34,0,168.7,5,8,0.04,0.843499985,350,FALSE,Service travaux,2021,5,31,3,26,2021,5,31,23,56
