Date,Month,Marketing_Channel,Revenue_Percentage
2/3/2021,2/1/2021,search engine marketing,-15
2/6/2021,1/1/2021,Influencer Marketing,-15
2/3/2021,1/1/2021,search engine marketing,-5
2/5/2021,1/1/2021,affiliate,-3
2/5/2021,2/1/2021,affiliate,-2
1/1/2021,2/1/2021,search engine marketing,0
1/1/2021,1/1/2021,affiliate,1
1/1/2021,2/1/2021,affiliate,2
1/1/2021,1/1/2021,Influencer Marketing,3
2/2/2021,1/1/2021,Social media,5
2/6/2021,2/1/2021,Influencer Marketing,5
1/1/2021,1/1/2021,Social media,10
1/1/2021,1/1/2021,search engine marketing,10
1/1/2021,2/1/2021,crm,10
1/1/2021,1/1/2021,crm,10
2/4/2021,2/1/2021,crm,10
2/4/2021,1/1/2021,crm,10
2/2/2021,2/1/2021,Social media,15
1/1/2021,2/1/2021,Social media,20
1/1/2021,2/1/2021,Influencer Marketing,23
