Client_id,Country,Country_code,Client_Count,Services,Out_px,Actual,Target_Rev,Compare
201,Chile,130,10,FullstackAnalysis,2800,2010,5000,20
200,Chile,130,3,PythonAnalysis,3900,600,3,100
150,Chile,130,10,PowerBIAnalysis ,4800,1500,10,99
150,Chile,130,2,PowerBIAnalysis ,1000,300,2,99
150,Chile,130,4,PowerBIAnalysis ,2800,600,4,99
200,Chile,130,6,PythonAnalysis,4800,1200,6,100
201,Chile,130,50,FullstackAnalysis,5400,10050,50,100
201,Chile,130,30,FullstackAnalysis,2000,6030,30,100
200,Chile,130,10,PythonAnalysis,1700,2000,10,100
88,Chile,130,5,PythonAnalysis,2600,440,5,99
150,Chile,130,20,PowerBIAnalysis ,5400,3000,20,99
150,Germany,145,50,PowerBIAnalysis ,3700,7500,50,99
200,Germany,145,100,PythonAnalysis,3900,20000,100,100
200,Germany,145,50,PythonAnalysis,1000,10000,50,100
200,Germany,145,50,PythonAnalysis,1500,10000,50,100
200,Germany,145,50,PythonAnalysis,1200,10000,50,100
200,Netherlands,145,50,PythonAnalysis,2000,10000,50,100
200,Netherlands,145,50,PythonAnalysis,1700,10000,50,100
150,Netherlands,145,30,PowerBIAnalysis ,3500,4500,30,99
150,Netherlands,145,20,PowerBIAnalysis ,4500,3000,20,99
150,Netherlands,145,30,PowerBIAnalysis ,3800,4500,30,99
100,Netherlands,145,30,PowerBIAnalysis ,1200,3000,30,99
150,Netherlands,145,30,PowerBIAnalysis ,1600,4500,30,99
201,Netherlands,145,10,FullstackAnalysis,3600,2010,10,100
150,Swiss,155,100,PowerBIAnalysis ,3400,15000,100,99
150,Swiss,155,100,PowerBIAnalysis ,2800,15000,100,99
150,Swiss,155,100,PowerBIAnalysis ,4500,15000,100,99
150,Swiss,155,100,PowerBIAnalysis ,2300,15000,100,99
201,Swiss,155,50,FullstackAnalysis,3700,10050,50,100
201,Swiss,155,50,FullstackAnalysis,3400,10050,50,100
201,Swiss,155,50,FullstackAnalysis,3400,10050,50,100
201,Swiss,155,50,FullstackAnalysis,2300,10050,50,100
201,Swiss,155,50,FullstackAnalysis,1200,10050,50,100
200,France,165,100,PythonAnalysis,1900,20000,100,100
200,France,165,100,PythonAnalysis,1000,20000,100,100
200,France,165,100,PythonAnalysis,1100,20000,100,100
150,France,165,100,PythonAnalysis,4500,15000,100,99
200,France,165,100,PythonAnalysis,4000,20000,100,100
200,France,165,100,PythonAnalysis,3400,20000,100,100
150,France,165,40,PowerBIAnalysis ,5000,6000,40,99
20,France,165,40,PowerBIAnalysis ,3000,800,40,95
20,France,165,40,PowerBIAnalysis ,5800,800,40,95
20,France,165,40,PowerBIAnalysis ,3800,800,40,95
150,France,165,40,PowerBIAnalysis ,5900,6000,40,99
150,France,165,40,PowerBIAnalysis ,4500,6000,40,99
150,France,165,40,PowerBIAnalysis ,3200,6000,40,99
150,France,165,40,PowerBIAnalysis ,2000,6000,40,99
150,France,165,40,PowerBIAnalysis ,1000,6000,40,99
150,SouthAfrica,195,40,PowerBIAnalysis ,4600,6000,40,99
150,SouthAfrica,195,40,PowerBIAnalysis ,3300,6000,40,99
150,SouthAfrica,195,40,PowerBIAnalysis ,2700,6000,40,99
150,Germany,145,40,PowerBIAnalysis ,4400,6000,40,99
88,Germany,145,40,PowerBIAnalysis ,5500,3520,40,99
45,Germany,145,40,PowerBIAnalysis ,2000,1800,40,98
150,Germany,145,40,PowerBIAnalysis ,2500,6000,40,99
150,Germany,145,40,PowerBIAnalysis ,4500,6000,40,99
150,Germany,145,40,PowerBIAnalysis ,3700,6000,40,99
150,Germany,145,40,PowerBIAnalysis ,3800,6000,40,99
150,Germany,145,40,PowerBIAnalysis ,4900,6000,40,99
100,Germany,145,10,PriceAnalysis,3800,1000,10,99
300,Germany,145,3,PriceAnalysis,2800,900,3,100
300,Germany,145,10,PriceAnalysis,5600,3000,10,100
100,Germany,145,2,PriceAnalysis,3800,200,2,99
100,Germany,145,4,PriceAnalysis,4500,400,4,99
100,Germany,145,6,PriceAnalysis,2900,600,6,99
100,Germany,145,50,PriceAnalysis,3900,5000,50,99
100,Germany,145,30,PriceAnalysis,4800,3000,30,99
100,Germany,145,10,PriceAnalysis,6000,1000,10,99
100,Germany,145,5,PriceAnalysis,5500,500,5,99
100,Germany,145,20,PriceAnalysis,6600,2000,20,99
100,Germany,145,50,PriceAnalysis,7700,5000,50,99
100,Germany,145,100,PriceAnalysis,3300,10000,100,99
100,Germany,145,50,PriceAnalysis,2000,5000,50,99
88,Belgium,175,50,EnergyBA,2900,4400,50,99
88,Belgium,175,50,EnergyBA,3000,4400,50,99
88,Belgium,175,50,EnergyBA,2800,4400,50,99
300,Belgium,175,50,EnergyBA,3700,15000,50,100
120,Belgium,175,30,EnergyBA,1000,3600,30,99
120,Belgium,175,30,EnergyBA,1100,3600,30,99
120,Belgium,175,30,EnergyBA,3700,3600,30,99
10,Belgium,175,30,EnergyBA,830,300,30,90
10,Belgium,175,30,EnergyBA,870,300,30,90
10,Belgium,175,10,EnergyBA,830,100,10,90
300,Belgium,175,100,EnergyBA,920,30000,100,100
300,Belgium,175,100,EnergyBA,860,30000,100,100
201,Belgium,175,100,EnergyBA,4600,20100,100,100
300,Belgium,175,100,EnergyBA,3900,30000,100,100
300,Belgium,175,50,EnergyBA,3500,15000,50,100
300,Belgium,175,50,EnergyBA,2200,15000,50,100
369,Netherlands,190,50,MusicBA,3300,18450,50,100
88,Netherlands,190,50,MusicBA,770,4400,50,99
88,Netherlands,190,50,MusicBA,5500,4400,50,99
88,Netherlands,190,100,MusicBA,3800,8800,100,99
88,Netherlands,190,100,MusicBA,860,8800,100,99
369,Netherlands,190,100,MusicBA,830,36900,100,100
369,Netherlands,190,100,MusicBA,2800,36900,100,100
201,Netherlands,190,100,MusicBA,2800,20100,100,100
369,Netherlands,190,100,MusicBA,1100,36900,100,100
369,Netherlands,190,40,MusicBA,6000,14760,40,100
369,Netherlands,190,40,MusicBA,2000,14760,40,100
369,Netherlands,190,40,MusicBA,1800,14760,40,100
369,Netherlands,190,40,MusicBA,1090,14760,100,99
150,Netherlands,190,40,MusicBA,2500,6000,40,99
369,Netherlands,190,40,MusicBA,3700,14760,1000,93
369,Netherlands,190,40,MusicBA,2800,14760,40,100
369,Netherlands,190,40,MusicBA,3400,14760,1000,93
88,Denmark,177,40,SportAnalysis,5600,3520,90,97
88,Denmark,177,40,SportAnalysis,790,3520,40,99
88,Denmark,177,40,SportAnalysis,670,3520,1000,72
369,Denmark,177,40,SportAnalysis,5600,14760,40,100
369,Denmark,177,40,SportAnalysis,880,14760,150,99
88,Denmark,177,40,SportAnalysis,2000,3520,1000,72
88,Denmark,177,40,SportAnalysis,4500,3520,1000,72
88,Denmark,177,40,SportAnalysis,860,3520,700,80
120,Denmark,177,40,SportAnalysis,830,4800,40,99
120,Denmark,177,40,SportAnalysis,800,4800,40,99
120,Denmark,177,40,SportAnalysis,870,4800,100,98
120,Denmark,177,40,SportAnalysis,850,4800,2000,58
201,Denmark,177,10,SportAnalysis,850,2010,10,100
201,Denmark,177,3,SportAnalysis,740,603,2000,-232
120,Denmark,177,10,SportAnalysis,820,1200,5000,-317
120,Denmark,177,2,SportAnalysis,6200,240,8000,-3233
120,Denmark,177,4,SportAnalysis,6000,480,6000,-1150
50,Finland,185,6,CareerBICoach,6100,300,8000,-2567
50,Finland,185,50,CareerBICoach,6200,2500,50,98
45,Finland,185,30,CareerBICoach,800,1350,30,98
45,Finland,185,10,CareerBICoach,2000,450,10,98
150,Finland,185,5,CareerBICoach,2200,750,5,99
45,Finland,185,20,CareerBICoach,3200,900,20,98
45,Finland,185,50,CareerBICoach,4500,2250,50,98
25,Finland,185,100,CareerBICoach,5200,2500,100,96
25,Finland,185,50,CareerBICoach,5300,1250,50,96
25,Finland,185,50,CareerBICoach,660,1250,50,96
201,Finland,185,50,CareerBICoach,610,10050,50,100
25,Finland,185,50,CareerBICoach,630,1250,50,96
25,Luxembourg,188,50,RenewableEnBI,600,1250,50,96
10,Luxembourg,188,30,RenewableEnBI,3000,300,80,73
201,Luxembourg,188,30,RenewableEnBI,3000,6030,90,99
10,Luxembourg,188,30,RenewableEnBI,770,300,80,73
10,Luxembourg,188,30,RenewableEnBI,800,300,89,70
10,Luxembourg,188,30,RenewableEnBI,911,300,90,70
369,Luxembourg,188,10,RenewableEnBI,2600,3690,10,100
10,Luxembourg,188,100,RenewableEnBI,2600,1000,100,90
