yr,EL,BRD,SNP,TLV,SNG
2019,2.51756,2.85324,0.08176,0.45556,7.26497
2019,2.31208,2.4185,0.07788,0.3797,6.77179
2018,2.39146,2.81058,0.07372,0.49432,6.85387
2018,2.78961,3.44051,0.09091,0.58239,8.80928
2018,2.62142,3.16513,0.09454,0.56312,8.26476
2018,2.62554,3.37926,0.09047,0.57902,8.42318
2018,2.56731,3.5582,0.08207,0.58803,8.13232
2018,2.40433,3.47236,0.08048,0.57193,7.73183
2018,2.46691,3.28921,0.08035,0.60168,9.36372
2018,2.48004,3.11261,0.07681,0.59742,8.79813
2018,2.72885,3.89095,0.08884,0.66535,9.64956
2018,3.10024,4.00117,0.08426,0.69424,10.00291
2018,3.01347,3.66857,0.08123,0.642,9.56449
2018,3.19351,3.60471,0.08184,0.64084,9.13193
2017,2.90915,3.32106,0.07363,0.54836,8.05808
2017,2.99635,3.30262,0.07325,0.55256,8.1417
2017,3.27163,3.15008,0.07242,0.55709,7.47723
2017,3.30642,3.19844,0.0743,0.57078,7.42303
2017,3.37041,3.38596,0.07778,0.59371,7.47302
2017,3.63939,3.66019,0.08202,0.63312,6.88284
2017,3.28271,3.37794,0.07104,0.56506,7.23478
2017,3.6789,3.19626,0.08114,0.62041,7.83764
2017,3.41289,2.89374,0.07739,0.5571,6.97285
2017,3.36626,2.88403,0.07081,0.52295,6.70359
2017,3.32265,2.80319,0.06996,0.53058,6.21729
2017,3.58481,2.91139,0.07177,0.60253,6.962
