,Date,ID,Problems_solved,Transactions,T_Month
0,2020-08-27,251.0,2,0,2020-08-01
1,2020-08-28,251.0,2,0,2020-08-01
2,2020-08-01,251.0,30,"1,051",2020-08-01
3,2020-08-02,251.0,6,0,2020-08-01
4,2020-08-03,251.0,14,"1,991",2020-08-01
5,2020-08-04,251.0,5,"1,231",2020-08-01
6,2020-08-06,251.0,4,0,2020-08-01
7,2020-08-07,251.0,15,"1,399",2020-08-01
8,2020-08-10,251.0,23,"1,317",2020-08-01
9,2020-08-12,251.0,11,571,2020-08-01
10,2020-08-14,73.0,23,"1,274",2020-08-01
11,2020-08-15,73.0,23,"2,068",2020-08-01
12,2020-08-17,73.0,0,0,2020-08-01
13,2020-08-03,73.0,20,946,2020-08-01
14,2020-08-04,73.0,32,0,2020-08-01
15,2020-08-05,73.0,24,0,2020-08-01
16,2020-08-06,73.0,24,"2,911",2020-08-01
17,2020-08-07,73.0,33,916,2020-08-01
18,2020-08-10,73.0,34,"1,364",2020-08-01
19,2020-08-11,73.0,7,"1,273",2020-08-01
20,2020-08-12,73.0,7,0,2020-08-01
21,2020-08-11,73.0,18,0,2020-08-01
22,2020-08-12,73.0,23,0,2020-08-01
23,2020-08-11,73.0,3,0,2020-08-01
24,2020-08-12,73.0,2,0,2020-08-01
25,2020-08-11,73.0,17,0,2020-08-01
26,2020-08-13,73.0,17,0,2020-08-01
27,2020-08-14,73.0,5,0,2020-08-01
28,2020-08-17,73.0,2,0,2020-08-01
29,2020-08-18,73.0,4,0,2020-08-01
30,2020-08-19,73.0,2,0,2020-08-01
31,2020-08-20,73.0,1,0,2020-08-01
32,2020-08-21,73.0,4,0,2020-08-01
33,2020-08-24,73.0,6,0,2020-08-01
34,2020-08-11,73.0,1,0,2020-08-01
35,2020-08-14,73.0,6,0,2020-08-01
36,2020-08-15,73.0,6,0,2020-08-01
37,2020-08-21,43.0,0,0,2020-08-01
38,2020-08-04,43.0,12,0,2020-08-01
39,2020-08-05,43.0,11,0,2020-08-01
40,2020-08-06,43.0,8,0,2020-08-01
41,2020-08-07,43.0,7,0,2020-08-01
42,2020-08-12,43.0,5,0,2020-08-01
43,2020-08-13,43.0,10,0,2020-08-01
44,2020-08-14,43.0,1,0,2020-08-01
45,2020-08-15,43.0,3,0,2020-08-01
46,2020-08-17,43.0,3,0,2020-08-01
47,2020-08-18,43.0,8,0,2020-08-01
48,2020-08-19,43.0,2,0,2020-08-01
49,2020-08-20,43.0,2,0,2020-08-01
50,2020-08-04,43.0,39,0,2020-08-01
51,2020-08-05,43.0,42,0,2020-08-01
52,2020-08-06,43.0,34,0,2020-08-01
53,2020-08-07,43.0,31,0,2020-08-01
54,2020-08-12,43.0,40,0,2020-08-01
55,2020-08-13,43.0,31,0,2020-08-01
56,2020-08-14,43.0,39,0,2020-08-01
57,2020-08-15,43.0,14,0,2020-08-01
58,2020-08-17,43.0,24,0,2020-08-01
59,2020-08-18,43.0,26,0,2020-08-01
60,2020-08-19,43.0,15,0,2020-08-01
61,2020-08-20,43.0,14,0,2020-08-01
62,2020-08-04,43.0,11,190,2020-08-01
63,2020-08-05,43.0,9,893,2020-08-01
64,2020-08-06,43.0,17,749,2020-08-01
65,2020-08-07,43.0,16,"1,489",2020-08-01
66,2020-08-12,43.0,7,410,2020-08-01
67,2020-08-13,43.0,18,239,2020-08-01
68,2020-08-14,43.0,9,589,2020-08-01
69,2020-08-15,43.0,32,649,2020-08-01
70,2020-08-17,43.0,18,"1,598",2020-08-01
71,2020-08-18,43.0,19,629,2020-08-01
72,2020-08-19,43.0,18,913,2020-08-01
73,2020-08-20,43.0,24,783,2020-08-01
74,2020-08-07,43.0,42,0,2020-08-01
75,2020-08-17,43.0,29,776,2020-08-01
76,2020-08-18,43.0,55,"1,202",2020-08-01
77,2020-08-24,43.0,14,"1,659",2020-08-01
78,2020-08-25,43.0,19,0,2020-08-01
79,2020-08-28,43.0,8,0,2020-08-01
80,2020-08-03,43.0,23,0,2020-08-01
82,2020-08-06,43.0,42,0,2020-08-01
83,2020-08-07,43.0,1,0,2020-08-01
84,2020-08-10,43.0,33,0,2020-08-01
85,2020-08-17,43.0,26,0,2020-08-01
86,2020-08-21,43.0,11,0,2020-08-01
87,2020-08-24,43.0,1,0,2020-08-01
88,2020-08-25,43.0,1,0,2020-08-01
89,2020-08-28,43.0,3,0,2020-08-01
